"GSP1"	"COS1"	"GSP2"	"COS2"	"GSP3"	"COS3"	"GSP4"	"COS4"	"GSP5"	"COS5"	"combined_pvalue"	"adjusted_pvalue"
"Igfbp5"	1.18989362604282e-22	1.90072121620967e-07	3.92154114731163e-20	0.999549854205508	2.10520765470138e-10	0.53235312127929	8.91763464842151e-06	0.61724940508786	0.000105470206078864	2.59119176443506e-24	5.55e-17	4.42800083174185e-13
"Pcp4"	2.42979276875793e-20	1.25724107549605e-09	1.48998736403632e-16	0.999423743224709	5.24280547785277e-07	0.732851411624452	0.00456930162642536	0.295283866691493	0.0274782354996784	6.77634975316189e-26	1.11022302462516e-16	4.42889051933256e-13
"Sez6"	5.25524744462891e-18	7.84972977604368e-07	1.51969465456964e-15	0.861104548508546	8.62997563090824e-07	0.999964006370839	0.00568412353634942	0.493954998060399	0.0296708688249431	6.94492754366135e-22	1.11022302462516e-16	4.42889051933256e-13
"Gng4"	6.12421084132082e-19	9.2111632131526e-08	6.86234329622659e-17	0.890758787174116	7.0838407576409e-09	0.712152704501448	5.39056006755647e-05	0.520498035196602	0.00118350789681533	2.8097564221211e-22	1.11022302462516e-16	4.42889051933256e-13
"Penk"	1.42348993518501e-17	2.66964877452334e-06	1.02763254423348e-15	0.997731678730057	4.07726208408252e-08	0.895675435454163	0.000192018045252561	0.0873558007778761	0.00113930819350762	6.0530929857566e-20	1.11022302462516e-16	4.42889051933256e-13
"Camk2b"	8.10233220728252e-18	1.89945310605615e-07	1.53324621239909e-15	0.998570843365417	5.34096695428656e-07	0.700930710267079	0.00197818755465784	0.516574054346018	0.00935698895601063	7.53314714607969e-25	1.11022302462516e-16	4.42889051933256e-13
"Gpsm1"	7.35041854945743e-19	7.74179777483352e-09	1.35286158061703e-16	0.999987527390689	1.3893044782965e-07	0.901086152995531	0.00197424082601201	0.27852332245072	0.0107736006236368	2.03231200267404e-25	1.11022302462516e-16	4.42889051933256e-13
"Ncdn"	1.14488671406503e-18	2.59737847678022e-08	9.69245394787773e-16	0.985850017717855	1.38385187594067e-06	0.913829437900102	0.00349987068345312	0.909331264920077	0.0103872357863153	2.71088403840725e-27	1.11022302462516e-16	4.42889051933256e-13
"Nr2f2"	2.6005926497438e-18	3.14974200593609e-06	6.63568882729835e-16	0.997833146532935	1.22248459810748e-07	0.725478137581066	0.00087791840829144	0.105046507403359	0.00327273642644649	2.61573468926526e-20	1.11022302462516e-16	4.42889051933256e-13
"Calm2"	2.34453757655196e-17	7.55676462469456e-08	3.73643071968784e-15	0.79005965961675	7.0497500621197e-07	0.877559215652427	0.00167115065116213	0.793547297541672	0.00404830816046373	4.13604899796986e-23	1.11022302462516e-16	4.42889051933256e-13
"Timp3"	1.88445980880547e-18	1.00525884785632e-07	6.80719896816723e-17	0.983819911669901	6.81904088504543e-09	0.932015006577176	6.91175652651948e-05	0.430107511055148	0.000660899590092241	1.27149012147582e-19	1.11022302462516e-16	4.42889051933256e-13
"Mbp"	5.79739137752429e-19	3.90464430490725e-07	4.93398513492488e-16	0.992463685404791	5.22659732144626e-07	0.950268445298202	0.00291486350691141	0.0305121582961408	0.0191186786523229	4.44523016315952e-26	1.11022302462516e-16	4.42889051933256e-13
"Nrgn"	1.15646927854172e-17	1.06039180609716e-07	1.12801671230567e-14	0.999271665373335	3.76424534736724e-06	0.889818860345	0.0172515291768833	0.150290707859143	0.0836240959688826	7.68690601555022e-24	1.11022302462516e-16	4.42889051933256e-13
"Kctd12"	1.4795725837015e-20	3.30766213283975e-08	4.24686761980574e-17	0.999878452942709	3.84374938277334e-07	0.476802643229533	0.0330683187072592	0.00134824333917536	0.097255179763638	1.25868896891389e-19	1.11022302462516e-16	4.42889051933256e-13
"Ptn"	1.99017479382341e-17	9.93518047572983e-07	4.85227627412394e-16	0.994618385141502	6.83013613935163e-08	0.927611418372568	0.000488780667649657	0.284718202772101	0.00111597984747701	4.33010038145699e-18	1.11022302462516e-16	4.42889051933256e-13
"Ube2ql1"	2.62166859881701e-12	6.95668370869404e-06	2.26816992669135e-10	0.959779070367337	0.000251296469821801	0.303251093992039	0.0582932966296737	0.0451775521446723	0.0697242462836308	1.00626962359568e-18	2.22044604925031e-16	4.59292350153006e-13
"Rbfox3"	5.07270008982941e-13	3.72523876453324e-07	6.79683715842533e-11	0.991971838272614	0.000183601791870376	0.808539357144097	0.0445863928944527	0.0223635256457752	0.111680346538273	5.99852165821463e-23	2.22044604925031e-16	4.59292350153006e-13
"Kcnh3"	3.9282563142549e-16	2.25287452765344e-07	3.96405713314617e-13	0.976431893018246	5.51178699991096e-05	0.993761522960616	0.0333587733850574	0.00217471114422435	0.100659764423606	1.26822354892313e-26	2.22044604925031e-16	4.59292350153006e-13
"Tspan3"	2.52264371257183e-11	0.00142795459661247	6.17483042950146e-11	0.630205640301167	7.17666625731436e-06	0.26995109020211	0.00272267274826726	0.555543584294423	0.0184394627772506	1.20147979726713e-17	2.22044604925031e-16	4.59292350153006e-13
"Baiap2"	3.88868899775735e-16	3.73892279594851e-06	2.70507700810681e-13	0.995180408354722	1.95839618237989e-05	0.98163881544082	0.0376960626599493	0.00434186226378692	0.114598010797022	6.63527345566655e-21	2.22044604925031e-16	4.59292350153006e-13
"Cpne4"	2.78628701650581e-15	1.27485968739163e-06	5.84307843624525e-13	0.88552352189776	1.01877081250916e-05	0.847562372412056	0.00656925360155469	0.16686245960431	0.0114738853475464	7.07661606909018e-21	2.22044604925031e-16	4.59292350153006e-13
"Ctxn1"	2.12358936592764e-12	4.18313349464667e-05	4.15832048787445e-10	0.975359012261766	0.000333959606475691	0.736724091684241	0.052475880145437	0.0103542644055655	0.137129571746838	8.68514758717917e-20	2.22044604925031e-16	4.59292350153006e-13
"Syn1"	9.37783890700308e-14	3.41511231833432e-06	1.09189614913607e-12	0.559113933590805	4.88423353221768e-06	0.971706497493794	0.0039448269162859	0.975509476326972	0.011212838828942	2.06508344738233e-19	2.22044604925031e-16	4.59292350153006e-13
"Vtn"	2.20445291911013e-17	7.38411094873637e-06	5.29232229360596e-17	0.96877094166246	8.46534879465346e-11	0.70279613887148	6.74888664835551e-07	0.0236718250509247	2.84275390666871e-05	8.85225048263963e-16	2.22044604925031e-16	4.59292350153006e-13
"Gja1"	2.60318680310117e-15	4.65642959502572e-07	1.05321257782133e-13	0.847935564677783	1.79164394649869e-06	0.864385305827519	0.00193414576638	0.133764094730561	0.0116750611127882	6.78169479769938e-24	2.22044604925031e-16	4.59292350153006e-13
"Trak2"	3.16358316608748e-18	2.80720333562266e-05	3.48347553598511e-16	0.999720701021679	5.35816515813871e-10	0.689054528939435	1.53815512242882e-06	0.223327787351021	4.49617228197302e-05	1.11994513615612e-13	2.22044604925031e-16	4.59292350153006e-13
"Igf1"	2.66612292127522e-13	0.000511150485285844	1.23605632318566e-11	0.980388124924475	3.67056466126409e-05	0.767846351050581	0.0190620298925283	0.0770177492967374	0.0440996856711353	4.45515785339146e-19	2.22044604925031e-16	4.59292350153006e-13
"Tubb2b"	1.56535183650055e-16	2.34923377743046e-05	5.82824116295508e-14	0.972156874323307	2.83606484857688e-06	0.983732810701504	0.00449613750776684	0.0716016039205854	0.0205100748603205	3.31319760145701e-21	2.22044604925031e-16	4.59292350153006e-13
"Egr1"	1.26114760399205e-11	1.36500849207612e-05	1.47796265460761e-09	0.953522806050938	0.00161280255906627	0.719978083225827	0.168148110306559	0.132849914821427	0.206160580245058	5.91668651072626e-20	2.22044604925031e-16	4.59292350153006e-13
"Lpar1"	8.20956001742559e-19	0.000273916565074022	1.49917544739972e-16	0.999883670452238	7.27693893538926e-09	0.794183662729706	6.50829992732066e-05	0.0529395494242479	0.000363797591572164	2.90098732735614e-16	2.22044604925031e-16	4.59292350153006e-13
"Cck"	2.0451324057954e-15	2.82393290605485e-05	2.67728683943045e-11	0.999999409910151	7.36302160608507e-05	0.356440014085315	0.0153874753574389	3.3195886027695e-06	0.0295305673541231	1.02205900716929e-19	2.22044604925031e-16	4.59292350153006e-13
"Ablim3"	2.20916084631381e-13	0.000152462955157537	2.25580419636626e-12	0.759411071273087	1.18777429162041e-06	0.911006743533858	0.000227603488980743	0.684804670923606	0.00237820982745726	6.94183116693906e-21	2.22044604925031e-16	4.59292350153006e-13
"Aplp1"	3.04326884625718e-13	0.000134578231613291	6.63864188033565e-13	0.999914391170947	3.48115521009382e-07	0.799292961229845	0.000234253303139167	0.770168551611807	0.00171130634252887	1.31218119578589e-17	2.22044604925031e-16	4.59292350153006e-13
"Ppia"	7.26413832550376e-13	3.93414879323645e-07	6.46052111958105e-12	0.98188128346835	6.96908744151864e-06	0.696581157900764	0.00322747575197303	0.338688990473916	0.0100864003357874	1.37362767225021e-18	2.22044604925031e-16	4.59292350153006e-13
"Gprin1"	6.67856939212541e-13	0.000537973564222735	7.50166168067122e-12	0.989160864215692	1.18495805874175e-05	0.978776164602961	0.00762248003292088	0.248152022784804	0.0211916323580676	8.75548734427613e-19	2.22044604925031e-16	4.59292350153006e-13
"Grb2"	2.47722383692235e-14	3.8605132565137e-07	2.23158376090792e-12	0.972407609245955	1.82090424481157e-05	0.66983520257131	0.0171171289677668	0.141220259148521	0.0538667043539556	2.18864587967018e-21	2.22044604925031e-16	4.59292350153006e-13
"Atp1a1"	4.07389468777926e-13	1.47707625139541e-05	8.11943487789758e-11	0.988623930216437	0.000671534918021406	0.95495942918842	0.193882920091442	0.949768641367805	0.244255512425041	1.29298826233206e-17	2.22044604925031e-16	4.59292350153006e-13
"Camk2n1"	2.08890521928076e-11	0.000259415157364763	2.41148577927623e-10	0.99224675717853	6.85459756688495e-05	0.824873669081153	0.0109531926669126	0.436615558127274	0.0293397543231176	2.09726372272572e-17	2.22044604925031e-16	4.59292350153006e-13
"Meis2"	2.5339569433785e-14	8.46663817187346e-07	5.92884130132303e-13	0.994940711201553	2.7729513118423e-06	0.955346338605195	0.00343157880219322	0.00972896099418099	0.0112023840116038	4.53953208311041e-21	2.22044604925031e-16	4.59292350153006e-13
"Nrsn1"	2.24364161786552e-12	3.07672634245188e-06	5.14168161326115e-10	0.980248608461751	0.00148511467128927	0.90656640636604	0.225158636778932	0.329635702623257	0.379487843262208	5.89054317704743e-22	2.22044604925031e-16	4.59292350153006e-13
"Fmo1"	2.98930630293994e-17	1.06251487933791e-07	2.39585044386076e-15	0.989809689074909	2.04838122456386e-07	0.862066263206042	0.00120459181473307	0.0930829090614938	0.00316613146187182	9.88014047586756e-18	2.22044604925031e-16	4.59292350153006e-13
"Igfbp4"	1.17804517301734e-16	0.000496178103033024	1.11557090281871e-16	0.932602729798731	4.66640128508633e-10	0.974195444345064	4.89772757787445e-06	0.0558437466625876	6.40288551526175e-05	4.96578801243401e-15	7.7715611723761e-16	1.57829553052579e-12
"Frzb"	1.32901414041351e-15	3.45328799733921e-06	7.54700032001678e-14	0.995582313235833	4.10504578870454e-07	0.422609364598391	0.000820465893229276	0.00227055428444456	0.0030198037908864	7.66803652830108e-17	8.88178419700125e-16	1.65345246055082e-12
"Mapk1"	1.81035894861534e-11	0.000656377441508703	3.43791635197185e-09	0.867186942313662	0.00116241600615037	0.52386364397927	0.0535903879471823	0.069966367139204	0.0552190493760641	6.28863133938139e-17	8.88178419700125e-16	1.65345246055082e-12
"Nrxn3"	1.88907974766952e-14	2.66195555317967e-07	8.33504650926323e-13	0.942695892154209	1.3725450228376e-05	0.956162355294122	0.0593983103910658	0.263110833765385	0.187661245358795	5.09188861758124e-17	8.88178419700125e-16	1.65345246055082e-12
"Kcnj4"	3.11894502383035e-11	2.58241201045037e-06	3.98967274208273e-10	0.973480469816371	7.67608195767137e-05	0.996274053778379	0.0187982516340781	0.454949028507334	0.0469001424266088	6.95622912230934e-17	8.88178419700125e-16	1.65345246055082e-12
"Rcn2"	7.32965468602654e-11	0.000780196351845395	3.20166887811784e-09	0.998084278137691	0.000398111750235488	0.321084833804121	0.0516708912652164	0.0501848603411656	0.179601907590618	3.70083709046852e-17	8.88178419700125e-16	1.65345246055082e-12
"Msi2"	4.820250768693e-12	0.00142314126669693	4.26360605010941e-10	0.986468574697939	0.000340506936091239	0.922308970125655	0.0489890720061827	0.0997110350693202	0.109142494267764	9.78690158383203e-17	1.55431223447522e-15	2.75575410091804e-12
"Npy"	1.46123976712626e-12	2.05443785801165e-05	4.29410020961059e-11	0.980136180162931	7.02182719508283e-05	0.305934302756779	0.050076509801915	0.00456414126697409	0.10079870688966	1.65175957755887e-16	1.55431223447522e-15	2.75575410091804e-12
"Epas1"	1.17869525768689e-13	1.80613188210179e-05	9.11963198314683e-13	0.97327750996743	2.42516740601923e-07	0.578808318238498	8.5301122931808e-05	0.0440895478701362	0.0005081274690002	1.4506102974912e-16	1.55431223447522e-15	2.75575410091804e-12
"Foxd3"	4.59478987769052e-16	1.59108005459949e-05	4.39502527239257e-15	0.991926226092143	9.33013150486876e-08	0.650373184102682	0.00105509619844041	0.224498693708261	0.00455956196917209	4.59702142582343e-16	2.1094237467878e-15	3.68151524419519e-12
"Id3"	1.38865886708038e-14	2.44733589642481e-07	1.2126657032843e-13	0.995731995100689	1.88982132676481e-06	0.379647445431705	0.0170151671015261	0.0505638986152745	0.0623212658414728	2.13530798417707e-16	2.22044604925031e-15	3.81565952434805e-12
"Dynll1"	3.07386306556887e-12	1.56904028734952e-05	5.69555303781226e-12	0.912263782821698	5.68410430144871e-07	0.823863162941905	0.000281704465096551	0.158055669948883	0.00214295493374566	2.09329985639916e-16	2.33146835171283e-15	3.94573882631446e-12
"Vim"	4.82070260679936e-16	6.78006718616531e-05	9.60376967109151e-16	0.898775162047066	4.99995114838842e-09	0.942295165479098	4.54431750741341e-05	0.381740262637156	0.000766491005534863	2.10820994200895e-15	2.88657986402541e-15	4.8122870120509e-12
"Gm13889"	9.00383971340371e-12	4.86803414335487e-05	1.91142104019245e-10	0.907653137849107	1.01018076212073e-05	0.994352491685191	0.000943575517772453	0.00103301018355752	0.00305937260893906	2.50116830275714e-16	2.99760216648792e-15	4.85252352552959e-12
"Abl2"	3.21737941867066e-11	7.32164049030029e-06	7.79375645410787e-10	0.560221798268069	0.000133884065269149	0.618956168264208	0.0354088265290533	0.052542164587402	0.109956634119582	2.6736243492661e-16	2.99760216648792e-15	4.85252352552959e-12
"Ccnd1"	7.7581333643349e-16	0.0180572640885708	5.65231578377633e-16	0.951950792989781	1.94910452310909e-10	0.828334497952867	1.30370612291275e-06	0.0566147485392723	0.000103751879642572	3.08067137407345e-13	3.33066907387547e-15	5.31466862319907e-12
"Fkbp1a"	3.46756669321316e-10	1.69037536305827e-05	7.62485439605981e-10	0.833868245628225	1.32199687632505e-05	0.904527476438288	0.00207903443875708	0.118694813150405	0.0160016315196862	3.79491392492202e-16	3.77475828372553e-15	5.93845602028817e-12
"S100b"	1.28777266890434e-11	1.23990907563694e-05	1.41698568692818e-11	0.965140561116338	1.88528722034742e-06	0.793502226180085	0.000584374329162787	0.738331807507588	0.00150456432511107	4.71079346536484e-16	4.44089209850063e-15	6.8893852522951e-12
"Snap25"	3.57677754249223e-14	8.22634375339362e-07	2.68224077205681e-12	0.936772557696689	1.22045090149019e-05	0.998978485993477	0.0146485387707703	0.308962300917084	0.041828326118505	6.44863854079319e-16	6.43929354282591e-15	9.85276466218641e-12
"Icam5"	1.16565289833009e-11	0.000506621936233167	5.98186660172144e-10	0.991463443752886	0.000222911339843018	0.256823955723722	0.0302793779151165	0.26169533119633	0.0614714117950982	6.85427878033313e-16	6.55031584528842e-15	9.88719883505053e-12
"Atf5"	6.98241038616742e-16	0.000353713130908708	1.57177881520514e-14	0.923329400696226	9.08723816105743e-09	0.805911930460586	8.30248855085475e-06	0.100598293134585	4.9216038913011e-05	5.96486153506745e-12	6.88338275267597e-15	1.02514052554151e-11
"Synpr"	1.1071818463962e-13	7.5063789247865e-06	9.00688548640966e-13	0.527096563397725	4.35913659350361e-07	0.688829080809444	0.000182376072968424	0.488378169175149	0.000617750205462006	7.63014466002651e-16	7.88258347483861e-15	1.15850452005699e-11
"Ahcyl2"	1.05997929183181e-13	2.30425186762839e-07	1.07158303230463e-12	0.969897738293261	6.08004400018075e-07	0.889483478165921	0.000517592547284463	0.00906331040569353	0.0021963486900591	8.25649939774818e-16	8.65973959207622e-15	1.25619440184705e-11
"Prdx6"	3.7518086976968e-13	4.8981882373588e-06	4.32370107015599e-12	0.998924814049446	1.37594144070237e-06	0.842049811522912	0.000339028004693582	0.169723510059199	0.000547615129972278	1.05859639613758e-15	1.0769163338864e-14	1.54216239109067e-11
"Gda"	2.62428554139318e-10	5.5757645158382e-05	1.01955860769348e-08	0.500665371878691	0.0015486802335741	0.743417634542603	0.242043603103173	0.429147492961215	0.360237417838118	1.13780522757313e-15	1.15463194561016e-14	1.63252268256917e-11
"Vamp2"	2.7161551721326e-15	0.000112653098065042	3.48747005101264e-15	0.97845462132299	1.30059148265559e-09	0.583017669797089	3.74821911214256e-06	0.824752431374481	2.56674481642433e-05	7.40688487142815e-12	1.52100554373646e-14	2.12365300401996e-11
"Lamp1"	1.58802566205579e-11	0.000169829617070728	5.09031772006246e-12	0.693682749706032	1.98397323025282e-07	0.917454392554056	0.000120042633074116	0.909924536799908	0.00198909225053961	1.6766796416541e-15	1.70974345792274e-14	2.35770073078543e-11
"Ahnak"	6.28113684344439e-14	1.70612802466398e-05	3.9532141532755e-13	0.970199535969281	6.14723891648557e-07	0.774391584365776	0.000702763340577691	0.263112936073912	0.0016420948559683	2.01652888071845e-15	1.93178806284777e-14	2.63140909880344e-11
"Rragd"	6.6487223151463e-10	0.00011817173287666	2.86707349114193e-09	0.973434453549672	0.000220614385343283	0.362668417532475	0.0310209080016055	0.343881560943816	0.0432657092261138	2.02323923381427e-15	1.99840144432528e-14	2.68935038764290e-11
"Stxbp1"	2.06323776555126e-09	3.55995159694329e-06	2.70060093300848e-09	0.205551510386175	0.000187271802870415	0.817061613627934	0.0377902793643451	0.905167539305793	0.0607382963670794	2.03003992934867e-15	2.06501482580279e-14	2.74591212198619e-11
"Aqp4"	5.83537529595852e-10	0.000964601909196872	1.21078319411059e-07	0.991531976278708	0.00426844700975992	0.222373978529336	0.198867649444126	0.00868730163384656	0.364101024208648	2.38082242482055e-15	2.42028619368284e-14	3.18046443882423e-11
"Grin1"	4.91563097333682e-13	0.000363253523025902	1.96414227217692e-12	0.625793960368596	2.40614583496442e-06	0.348504074998096	0.0043376617155786	0.550532556518877	0.0122811306209401	2.51061645126869e-15	2.4757973449141e-14	3.21558051194332e-11
"Limd2"	4.77919523539846e-09	0.00195448255193696	5.27983742558121e-08	0.688650424864278	0.00088398133408977	0.69026827936067	0.0410273578388643	0.0715661192150941	0.0867548889013974	2.67578399649243e-15	2.70894418008538e-14	3.47795172736552e-11
"Arf3"	1.01310854484358e-10	5.61425299143988e-06	4.61961004448152e-09	0.861508928668525	0.00062996401747819	0.844790567841886	0.065118618132049	0.0548096386486124	0.0624884379525708	3.07213394045177e-15	3.06421554796543e-14	3.88937112879569e-11
"Nsg2"	1.58701571862603e-13	4.47339752251454e-07	5.51638677865505e-13	0.973934705676574	7.66208949516587e-07	0.870182744470739	0.00162858758265821	0.894036994469792	0.00453277077884005	3.3379391496679e-15	3.25295346215171e-14	4.08254132815779e-11
"Ptgds"	4.18807673542118e-12	8.09569365327779e-06	9.85247517209549e-11	0.98749946668349	0.000119727316681112	0.19756901427255	0.124504090805901	0.119141609591346	0.292908321499586	3.4793634882585e-15	3.48610029732299e-14	4.32653393844132e-11
"Dpf1"	2.51224334168707e-10	1.37937382049838e-05	1.9808943722997e-08	0.709024534513183	0.000866416323412721	0.928921931195167	0.0621092354315424	0.000374706906266252	0.112493346894468	3.83206884819232e-15	3.84137166520304e-14	4.71506498365867e-11
"Agt"	1.38956745558431e-13	1.88309913849279e-05	5.74577423948273e-13	0.909491796666397	6.98659264166979e-08	0.889821689573756	8.78031641574119e-05	0.0117059753945289	0.00175835686896367	4.2545255970265e-15	4.10782519111308e-14	4.98731584568319e-11
"Prkca"	3.96264435147751e-12	4.30651787300557e-06	2.35231835411623e-10	0.994565307503656	0.000173397119713391	0.562986261350142	0.101676795407336	0.120628799853185	0.260000713052441	6.29491478145521e-15	6.30606677987089e-14	7.5738790128457e-11
"Mest"	1.83799571229931e-13	0.000214011037822949	1.48820185630806e-12	0.999468918854656	3.92029079376733e-07	0.971871593237468	0.000186893627037491	0.167434421561254	0.000557647721727537	1.05186853658104e-14	9.84767822842514e-14	1.17016941423557e-10
"Kcnj10"	2.91206131625177e-10	0.00302450494008329	5.39214019595103e-08	0.999534928944977	0.00168200095702374	0.63788169619213	0.0591047629217158	0.00139101976619394	0.0895900174841639	1.00750540663634e-14	1.00586206031039e-13	1.1826536283624e-10
"Necab2"	6.84541736760075e-12	0.000349453478225568	2.51962287067192e-10	0.733402077295631	1.89262476210125e-05	0.786767642857391	0.00424232001617757	0.176439443749153	0.0244732217887365	1.72920123015819e-14	1.72972747236599e-13	2.0125616668267e-10
"Sorbs1"	1.9016004538389e-14	0.0026425186189408	6.43946045696223e-12	0.998507264446706	1.34790070215704e-05	0.398614793208459	0.0182453266314025	0.0190395126958417	0.0317575647947804	3.58430903929921e-11	1.89626092605977e-13	2.1835800020264e-10
"Tnfrsf19"	1.28152778018757e-07	6.29742224782154e-05	3.63983751319472e-07	0.660129274212039	0.00161791884614983	0.898817720357048	0.0691740192854599	0.275323415156559	0.163040774344412	2.26526826198423e-14	2.26374474721069e-13	2.58014507683403e-10
"Igfbp7"	8.69437240180891e-14	0.00170962752205732	3.297874060115e-14	0.99998372092475	4.02736671136899e-10	0.963054270079891	4.53547994303817e-07	0.495200693810767	1.41730645482945e-05	1.91319950173675e-11	2.39031017201796e-13	2.69688117239843e-10
"C1qtnf4"	1.14373491021091e-09	2.00785502603187e-05	8.21018284321578e-10	0.987150121817541	2.99053255366006e-06	0.966767799585186	7.69250639049484e-05	0.146412282837369	0.000146608668065593	2.56546894804426e-14	2.56683563293336e-13	2.86708656659513e-10
"Gpm6b"	5.9636146811089e-12	7.47182745161032e-06	3.82422464966175e-10	0.681256641449435	0.000105306155657112	0.989308018990751	0.0153088649829976	0.367570952315722	0.0207838546874236	2.8586128445897e-14	2.84328116606503e-13	3.14442456792376e-10
"Ppm1e"	1.27378149703817e-09	2.71874259227607e-05	1.22095582756519e-08	0.944488982738243	0.000417905520754328	0.35357736420743	0.053702606238766	0.538176651589958	0.117788439461196	4.10479829929331e-14	4.10116385296533e-13	4.49106866858437e-10
"Atp1b2"	9.22246133277444e-10	0.000694129547074341	1.21880422209304e-08	0.915611637200401	2.50093340217331e-05	0.69327170834601	0.000676807041074718	0.0188927239092594	0.00623222431947193	5.09993662094115e-14	5.10480546722647e-13	5.53585515554322e-10
"Laptm4a"	1.77480972577536e-10	3.61071179598683e-06	7.71152197481626e-10	0.983821431158901	7.45316827626932e-05	0.354009953053121	0.0201734526810265	0.224764163191484	0.0289211740689792	5.19642470765272e-14	5.19473353222111e-13	5.57920966075767e-10
"Bai2"	1.10616075521255e-10	1.36166006028347e-05	1.3988383345614e-09	0.884261232950034	6.09217593593168e-05	0.57739811913803	0.00594450576263833	0.0106735747399425	0.0151654232874084	6.33742790406709e-14	6.33715302456039e-13	6.74136188916007e-10
"Apc"	7.31437619618806e-14	0.0496133003123223	1.83071532402832e-11	0.999744426635592	6.59128299587006e-07	0.582238615481549	5.776312958578e-05	0.0004201753738259	0.000368960931139547	4.77882711693216e-12	7.17870207722626e-13	7.56454500702002e-10
"Agap2"	3.77675661924749e-11	0.00938898318501745	4.45260564421848e-10	0.86103093807765	9.96051969929889e-05	0.214525863133234	0.0317259345965446	0.33241653902741	0.0678408919947523	7.2665596134008e-14	7.25197679685152e-13	7.57033981704531e-10
"Unc13c"	1.19943813288911e-13	0.000129967445923878	3.27945667212225e-13	0.922584255511186	5.84601955712813e-09	0.185038892799933	2.52904426013689e-06	0.190247769476596	4.96779410013383e-05	1.22725178359694e-12	8.19677659080753e-13	8.47738855294912e-10
"Cldn5"	1.52228069224181e-13	7.72789490274533e-06	1.89563310359435e-13	0.974236359050775	1.92546673480257e-08	0.69258793312162	5.66662262733871e-05	0.51320605360398	0.000590937329540469	2.15703294495753e-11	8.41104963456019e-13	8.61918979894475e-10
