	Shuffled : 0	Shuffled : 100	Shuffled : 500	Shuffled : 900
12x2	2.0	2.0	2.0	2.0
13x2	1.0	1.0	1.0	3.0
14x2	3.0	2.0	7.0	5.0
15x2	2.0	2.0	2.0	2.0
16x2	2.0	2.0	2.0	2.0
17x2	2.0	2.0	2.0	4.0
18x2	3.0	3.0	3.0	2.0
19x2	2.0	2.0	2.0	4.0
20x2	1.0	1.0	9.0	6.0
21x2	2.0	2.0	2.0	6.0
22x2	1.0	1.0	9.0	2.0
23x2	4.0	4.0	4.0	11.0
24x2	1.0	1.0	1.0	3.0
25x2	4.0	4.0	4.0	1.0
26x2	1.0	1.0	1.0	0.0
27x2	0.0	0.0	0.0	1.0
28x2	1.0	1.0	2.0	2.0
29x2	2.0	1.0	1.0	3.0
0x3	1.0	1.0	8.0	2.0
1x3	2.0	2.0	4.0	4.0
2x3	2.0	2.0	2.0	9.0
3x3	5.0	5.0	9.0	0.0
4x3	1.0	1.0	1.0	0.0
5x3	0.0	0.0	0.0	0.0
6x3	3.0	3.0	2.0	1.0
7x3	1.0	1.0	0.0	0.0
8x3	1.0	1.0	9.0	2.0
9x3	1.0	1.0	1.0	3.0
10x3	1.0	1.0	8.0	1.0
11x3	2.0	2.0	2.0	2.0
12x3	2.0	2.0	2.0	0.0
13x3	2.0	2.0	1.0	4.0
14x3	5.0	5.0	5.0	0.0
15x3	15.0	15.0	15.0	3.0
16x3	8.0	8.0	2.0	4.0
17x3	4.0	4.0	4.0	5.0
18x3	8.0	8.0	8.0	9.0
19x3	8.0	8.0	8.0	3.0
20x3	7.0	7.0	1.0	1.0
21x3	3.0	3.0	3.0	2.0
22x3	9.0	3.0	9.0	12.0
23x3	2.0	2.0	2.0	1.0
24x3	7.0	7.0	7.0	2.0
25x3	0.0	0.0	8.0	3.0
26x3	2.0	2.0	2.0	2.0
27x3	1.0	1.0	1.0	1.0
28x3	2.0	2.0	2.0	1.0
29x3	1.0	1.0	4.0	8.0
0x4	2.0	2.0	2.0	3.0
1x4	2.0	2.0	5.0	4.0
2x4	3.0	3.0	0.0	7.0
3x4	3.0	3.0	3.0	4.0
4x4	4.0	4.0	4.0	4.0
5x4	3.0	3.0	3.0	6.0
6x4	2.0	2.0	3.0	1.0
7x4	3.0	3.0	13.0	0.0
8x4	2.0	2.0	3.0	2.0
9x4	0.0	0.0	0.0	2.0
10x4	1.0	1.0	2.0	5.0
11x4	2.0	2.0	2.0	4.0
12x4	1.0	1.0	1.0	3.0
13x4	0.0	0.0	0.0	8.0
14x4	8.0	8.0	8.0	8.0
15x4	8.0	8.0	8.0	13.0
16x4	7.0	7.0	7.0	0.0
17x4	10.0	6.0	2.0	1.0
18x4	12.0	12.0	2.0	2.0
19x4	6.0	6.0	8.0	2.0
20x4	7.0	7.0	7.0	1.0
21x4	3.0	3.0	3.0	3.0
22x4	8.0	8.0	2.0	5.0
23x4	6.0	6.0	6.0	1.0
24x4	1.0	9.0	1.0	2.0
25x4	1.0	1.0	1.0	3.0
26x4	1.0	3.0	0.0	1.0
27x4	2.0	2.0	1.0	10.0
28x4	3.0	3.0	2.0	9.0
29x4	4.0	4.0	4.0	2.0
0x5	4.0	4.0	3.0	18.0
1x5	3.0	3.0	5.0	3.0
2x5	1.0	1.0	12.0	2.0
3x5	3.0	3.0	3.0	4.0
4x5	3.0	3.0	3.0	1.0
5x5	1.0	1.0	5.0	3.0
6x5	1.0	1.0	1.0	6.0
7x5	1.0	1.0	4.0	2.0
8x5	1.0	3.0	0.0	0.0
9x5	1.0	1.0	2.0	1.0
10x5	0.0	0.0	2.0	2.0
11x5	4.0	4.0	4.0	9.0
12x5	1.0	0.0	1.0	8.0
13x5	1.0	1.0	1.0	8.0
14x5	6.0	6.0	6.0	4.0
15x5	11.0	11.0	8.0	2.0
16x5	9.0	9.0	2.0	0.0
17x5	11.0	11.0	6.0	2.0
18x5	7.0	7.0	13.0	1.0
19x5	13.0	13.0	13.0	2.0
20x5	10.0	10.0	10.0	3.0
21x5	5.0	5.0	3.0	4.0
22x5	9.0	9.0	3.0	1.0
23x5	8.0	8.0	2.0	8.0
24x5	5.0	5.0	4.0	4.0
25x5	2.0	2.0	2.0	1.0
26x5	1.0	1.0	1.0	3.0
27x5	7.0	7.0	6.0	16.0
28x5	1.0	1.0	1.0	11.0
29x5	2.0	2.0	1.0	8.0
0x6	0.0	0.0	7.0	2.0
1x6	2.0	2.0	2.0	1.0
2x6	5.0	5.0	2.0	1.0
3x6	0.0	0.0	4.0	7.0
4x6	2.0	2.0	2.0	2.0
5x6	0.0	0.0	0.0	9.0
6x6	1.0	2.0	1.0	1.0
7x6	3.0	3.0	3.0	8.0
8x6	4.0	4.0	6.0	1.0
9x6	4.0	4.0	1.0	5.0
10x6	1.0	1.0	1.0	1.0
11x6	1.0	1.0	1.0	6.0
12x6	1.0	1.0	2.0	4.0
13x6	4.0	4.0	1.0	4.0
14x6	7.0	7.0	7.0	2.0
15x6	8.0	8.0	6.0	4.0
16x6	8.0	8.0	2.0	12.0
17x6	15.0	15.0	2.0	4.0
18x6	6.0	6.0	8.0	2.0
19x6	9.0	9.0	9.0	2.0
20x6	3.0	3.0	3.0	1.0
21x6	7.0	7.0	7.0	2.0
22x6	10.0	10.0	10.0	4.0
23x6	14.0	14.0	1.0	2.0
24x6	6.0	6.0	2.0	0.0
25x6	4.0	4.0	4.0	2.0
26x6	1.0	2.0	9.0	3.0
27x6	1.0	1.0	3.0	15.0
28x6	2.0	2.0	15.0	6.0
29x6	5.0	5.0	2.0	7.0
0x7	4.0	4.0	0.0	1.0
1x7	0.0	0.0	0.0	9.0
2x7	3.0	3.0	1.0	2.0
3x7	3.0	3.0	11.0	2.0
4x7	1.0	1.0	9.0	0.0
5x7	2.0	2.0	14.0	7.0
6x7	3.0	2.0	3.0	2.0
7x7	2.0	1.0	2.0	8.0
8x7	3.0	3.0	1.0	3.0
9x7	6.0	6.0	6.0	3.0
10x7	1.0	1.0	3.0	4.0
11x7	1.0	1.0	2.0	1.0
12x7	2.0	2.0	2.0	3.0
13x7	8.0	8.0	8.0	3.0
14x7	12.0	12.0	1.0	8.0
15x7	7.0	7.0	0.0	2.0
16x7	13.0	13.0	1.0	4.0
17x7	6.0	6.0	2.0	2.0
18x7	7.0	7.0	2.0	1.0
19x7	8.0	8.0	8.0	11.0
20x7	7.0	7.0	7.0	2.0
21x7	12.0	12.0	1.0	0.0
22x7	4.0	4.0	2.0	2.0
23x7	5.0	5.0	5.0	11.0
24x7	6.0	6.0	6.0	1.0
25x7	8.0	1.0	8.0	12.0
26x7	10.0	10.0	3.0	5.0
27x7	8.0	8.0	3.0	1.0
28x7	2.0	2.0	2.0	3.0
29x7	0.0	0.0	2.0	0.0
0x8	1.0	1.0	1.0	3.0
1x8	1.0	1.0	1.0	2.0
2x8	4.0	4.0	1.0	2.0
3x8	2.0	2.0	6.0	6.0
4x8	3.0	3.0	3.0	1.0
5x8	2.0	2.0	2.0	0.0
6x8	1.0	1.0	4.0	7.0
7x8	3.0	3.0	2.0	8.0
8x8	3.0	3.0	6.0	3.0
9x8	2.0	1.0	0.0	6.0
10x8	2.0	2.0	3.0	1.0
11x8	4.0	4.0	2.0	1.0
12x8	3.0	3.0	3.0	2.0
13x8	13.0	13.0	13.0	8.0
14x8	7.0	3.0	6.0	4.0
15x8	6.0	6.0	10.0	2.0
16x8	11.0	11.0	11.0	2.0
17x8	8.0	8.0	2.0	2.0
18x8	10.0	10.0	10.0	2.0
19x8	8.0	12.0	8.0	3.0
20x8	6.0	6.0	6.0	8.0
21x8	9.0	9.0	9.0	1.0
22x8	8.0	8.0	8.0	2.0
23x8	5.0	5.0	2.0	4.0
24x8	6.0	6.0	0.0	2.0
25x8	6.0	6.0	6.0	3.0
26x8	9.0	9.0	2.0	1.0
27x8	8.0	8.0	2.0	7.0
28x8	6.0	6.0	6.0	2.0
29x8	4.0	4.0	1.0	2.0
0x9	3.0	3.0	3.0	2.0
1x9	2.0	2.0	2.0	0.0
2x9	3.0	3.0	3.0	0.0
3x9	1.0	1.0	7.0	2.0
4x9	3.0	3.0	3.0	3.0
5x9	1.0	1.0	4.0	1.0
6x9	1.0	3.0	1.0	1.0
7x9	2.0	1.0	2.0	2.0
8x9	2.0	2.0	2.0	1.0
9x9	0.0	0.0	0.0	4.0
10x9	2.0	12.0	2.0	6.0
11x9	2.0	2.0	5.0	0.0
12x9	3.0	3.0	3.0	8.0
13x9	5.0	5.0	1.0	2.0
14x9	9.0	9.0	1.0	1.0
15x9	8.0	8.0	8.0	5.0
16x9	7.0	7.0	7.0	3.0
17x9	16.0	16.0	16.0	1.0
18x9	7.0	7.0	3.0	3.0
19x9	7.0	7.0	7.0	4.0
20x9	8.0	8.0	8.0	2.0
21x9	6.0	6.0	1.0	1.0
22x9	8.0	8.0	2.0	1.0
23x9	4.0	4.0	5.0	2.0
24x9	9.0	9.0	2.0	1.0
25x9	14.0	14.0	14.0	4.0
26x9	8.0	8.0	8.0	3.0
27x9	6.0	6.0	6.0	5.0
28x9	12.0	12.0	12.0	1.0
29x9	0.0	0.0	0.0	0.0
0x10	2.0	2.0	1.0	16.0
1x10	3.0	3.0	6.0	11.0
2x10	2.0	2.0	2.0	8.0
3x10	2.0	2.0	2.0	7.0
4x10	4.0	4.0	3.0	3.0
5x10	2.0	2.0	2.0	3.0
6x10	0.0	0.0	0.0	5.0
7x10	4.0	4.0	4.0	11.0
8x10	1.0	4.0	1.0	2.0
9x10	2.0	2.0	2.0	11.0
10x10	1.0	1.0	3.0	7.0
11x10	4.0	4.0	4.0	1.0
12x10	2.0	2.0	2.0	3.0
13x10	4.0	4.0	1.0	1.0
14x10	2.0	2.0	1.0	5.0
15x10	3.0	3.0	7.0	1.0
16x10	13.0	13.0	0.0	1.0
17x10	6.0	6.0	2.0	2.0
18x10	7.0	7.0	7.0	4.0
19x10	9.0	9.0	9.0	8.0
20x10	6.0	6.0	0.0	6.0
21x10	4.0	4.0	4.0	3.0
22x10	6.0	6.0	8.0	8.0
23x10	4.0	4.0	4.0	3.0
24x10	9.0	9.0	3.0	15.0
25x10	8.0	8.0	2.0	0.0
26x10	5.0	5.0	5.0	2.0
27x10	11.0	11.0	11.0	0.0
28x10	16.0	16.0	4.0	2.0
29x10	3.0	3.0	1.0	1.0
0x11	0.0	0.0	0.0	7.0
1x11	3.0	3.0	0.0	4.0
2x11	3.0	3.0	3.0	1.0
3x11	2.0	2.0	2.0	3.0
4x11	0.0	0.0	6.0	13.0
5x11	2.0	2.0	4.0	6.0
6x11	4.0	4.0	2.0	6.0
7x11	2.0	2.0	8.0	1.0
8x11	3.0	3.0	3.0	8.0
9x11	1.0	3.0	1.0	1.0
10x11	2.0	2.0	2.0	2.0
11x11	1.0	1.0	1.0	4.0
12x11	4.0	4.0	4.0	2.0
13x11	4.0	2.0	9.0	0.0
14x11	4.0	4.0	4.0	2.0
15x11	2.0	2.0	0.0	2.0
16x11	3.0	3.0	1.0	9.0
17x11	9.0	9.0	9.0	6.0
18x11	9.0	9.0	0.0	1.0
19x11	5.0	5.0	1.0	1.0
20x11	6.0	6.0	0.0	6.0
21x11	7.0	7.0	7.0	3.0
22x11	10.0	10.0	6.0	3.0
23x11	8.0	8.0	8.0	2.0
24x11	9.0	9.0	9.0	2.0
25x11	11.0	11.0	2.0	5.0
26x11	11.0	11.0	11.0	0.0
27x11	11.0	11.0	11.0	0.0
28x11	10.0	10.0	1.0	4.0
29x11	3.0	3.0	3.0	1.0
0x12	1.0	1.0	8.0	3.0
1x12	1.0	1.0	1.0	2.0
2x12	2.0	2.0	2.0	1.0
3x12	1.0	1.0	2.0	5.0
4x12	1.0	1.0	1.0	2.0
5x12	2.0	2.0	2.0	5.0
6x12	2.0	2.0	3.0	3.0
7x12	2.0	2.0	4.0	2.0
8x12	0.0	13.0	0.0	12.0
9x12	1.0	1.0	1.0	9.0
10x12	1.0	1.0	2.0	0.0
11x12	2.0	2.0	1.0	5.0
12x12	3.0	3.0	3.0	8.0
13x12	4.0	4.0	4.0	9.0
14x12	2.0	3.0	2.0	3.0
15x12	4.0	4.0	0.0	1.0
16x12	1.0	1.0	1.0	11.0
17x12	4.0	4.0	4.0	1.0
18x12	7.0	2.0	1.0	3.0
19x12	7.0	7.0	7.0	2.0
20x12	6.0	6.0	7.0	3.0
21x12	11.0	11.0	11.0	5.0
22x12	9.0	9.0	5.0	2.0
23x12	8.0	8.0	0.0	10.0
24x12	13.0	13.0	13.0	1.0
25x12	8.0	1.0	4.0	8.0
26x12	13.0	13.0	1.0	3.0
27x12	6.0	6.0	4.0	4.0
28x12	2.0	2.0	2.0	8.0
29x12	3.0	3.0	2.0	1.0
0x13	1.0	1.0	4.0	3.0
1x13	2.0	2.0	2.0	1.0
2x13	1.0	1.0	1.0	1.0
3x13	4.0	4.0	3.0	8.0
4x13	1.0	7.0	1.0	13.0
5x13	2.0	2.0	1.0	3.0
6x13	1.0	1.0	1.0	5.0
7x13	4.0	2.0	4.0	3.0
8x13	5.0	5.0	5.0	7.0
9x13	3.0	3.0	5.0	2.0
10x13	0.0	0.0	0.0	3.0
11x13	3.0	3.0	4.0	1.0
12x13	2.0	2.0	2.0	1.0
13x13	2.0	2.0	11.0	7.0
14x13	2.0	2.0	2.0	1.0
15x13	4.0	4.0	8.0	1.0
16x13	4.0	4.0	4.0	8.0
17x13	2.0	2.0	2.0	3.0
18x13	3.0	3.0	3.0	1.0
19x13	6.0	6.0	6.0	3.0
20x13	7.0	7.0	3.0	1.0
21x13	2.0	2.0	2.0	1.0
22x13	5.0	5.0	5.0	0.0
23x13	4.0	4.0	4.0	2.0
24x13	8.0	8.0	4.0	2.0
25x13	4.0	3.0	1.0	2.0
26x13	7.0	2.0	7.0	2.0
27x13	8.0	8.0	12.0	9.0
28x13	2.0	8.0	5.0	6.0
29x13	0.0	0.0	4.0	8.0
0x14	1.0	1.0	11.0	2.0
1x14	2.0	2.0	2.0	1.0
2x14	2.0	2.0	0.0	6.0
3x14	1.0	1.0	4.0	0.0
4x14	4.0	3.0	3.0	9.0
5x14	6.0	6.0	2.0	0.0
6x14	5.0	5.0	5.0	3.0
7x14	0.0	0.0	0.0	3.0
8x14	2.0	2.0	3.0	2.0
9x14	2.0	2.0	9.0	2.0
10x14	0.0	0.0	8.0	0.0
11x14	5.0	5.0	2.0	0.0
12x14	2.0	2.0	2.0	3.0
13x14	2.0	4.0	2.0	2.0
14x14	0.0	0.0	4.0	4.0
15x14	1.0	8.0	4.0	7.0
16x14	2.0	2.0	2.0	2.0
17x14	2.0	2.0	2.0	2.0
18x14	3.0	3.0	8.0	2.0
19x14	4.0	4.0	4.0	6.0
20x14	1.0	1.0	1.0	2.0
21x14	2.0	2.0	3.0	0.0
22x14	8.0	8.0	8.0	4.0
23x14	8.0	8.0	9.0	1.0
24x14	11.0	11.0	2.0	2.0
25x14	3.0	3.0	3.0	0.0
26x14	7.0	7.0	0.0	2.0
27x14	5.0	5.0	5.0	1.0
28x14	4.0	4.0	1.0	2.0
29x14	2.0	2.0	2.0	10.0
0x15	6.0	6.0	4.0	0.0
1x15	2.0	2.0	2.0	9.0
2x15	2.0	2.0	4.0	3.0
3x15	2.0	2.0	2.0	2.0
4x15	13.0	13.0	13.0	2.0
5x15	12.0	0.0	12.0	9.0
6x15	6.0	6.0	6.0	13.0
7x15	9.0	9.0	1.0	1.0
8x15	1.0	1.0	1.0	4.0
9x15	4.0	4.0	4.0	2.0
10x15	2.0	2.0	2.0	2.0
11x15	2.0	2.0	2.0	2.0
12x15	1.0	1.0	2.0	3.0
13x15	1.0	1.0	1.0	3.0
14x15	5.0	5.0	6.0	3.0
15x15	2.0	2.0	3.0	2.0
16x15	2.0	2.0	4.0	1.0
17x15	3.0	3.0	12.0	3.0
18x15	1.0	1.0	1.0	15.0
19x15	0.0	0.0	13.0	3.0
20x15	2.0	2.0	2.0	10.0
21x15	0.0	0.0	2.0	7.0
22x15	3.0	1.0	3.0	1.0
23x15	8.0	8.0	1.0	4.0
24x15	8.0	8.0	1.0	2.0
25x15	4.0	4.0	3.0	5.0
26x15	8.0	8.0	3.0	1.0
27x15	4.0	4.0	1.0	2.0
28x15	1.0	1.0	1.0	2.0
29x15	1.0	1.0	4.0	3.0
0x16	0.0	0.0	0.0	3.0
1x16	1.0	1.0	7.0	3.0
2x16	2.0	2.0	0.0	3.0
3x16	7.0	7.0	7.0	2.0
4x16	3.0	3.0	7.0	2.0
5x16	8.0	1.0	8.0	12.0
6x16	4.0	4.0	7.0	1.0
7x16	4.0	4.0	4.0	1.0
8x16	15.0	15.0	0.0	3.0
9x16	2.0	2.0	1.0	4.0
10x16	2.0	2.0	9.0	2.0
11x16	2.0	2.0	1.0	2.0
12x16	1.0	1.0	3.0	1.0
13x16	5.0	5.0	5.0	6.0
14x16	1.0	1.0	1.0	3.0
15x16	1.0	1.0	2.0	4.0
16x16	2.0	2.0	2.0	0.0
17x16	1.0	1.0	1.0	2.0
18x16	2.0	2.0	2.0	3.0
19x16	1.0	1.0	2.0	8.0
20x16	2.0	2.0	1.0	0.0
21x16	1.0	1.0	1.0	7.0
22x16	2.0	2.0	3.0	4.0
23x16	5.0	5.0	2.0	2.0
24x16	7.0	7.0	3.0	10.0
25x16	8.0	8.0	0.0	0.0
26x16	8.0	8.0	8.0	6.0
27x16	0.0	0.0	10.0	6.0
28x16	4.0	4.0	4.0	11.0
29x16	2.0	4.0	3.0	13.0
0x17	3.0	1.0	1.0	8.0
1x17	5.0	5.0	5.0	2.0
2x17	3.0	3.0	3.0	5.0
3x17	6.0	6.0	6.0	0.0
4x17	12.0	12.0	3.0	1.0
5x17	10.0	10.0	10.0	0.0
6x17	7.0	7.0	7.0	2.0
7x17	7.0	7.0	7.0	0.0
8x17	13.0	13.0	13.0	0.0
9x17	2.0	2.0	1.0	2.0
10x17	3.0	2.0	3.0	8.0
11x17	3.0	0.0	3.0	3.0
12x17	1.0	1.0	1.0	2.0
13x17	1.0	1.0	2.0	1.0
14x17	1.0	1.0	4.0	13.0
15x17	3.0	3.0	3.0	2.0
16x17	4.0	4.0	4.0	0.0
17x17	0.0	0.0	0.0	4.0
18x17	2.0	2.0	3.0	2.0
19x17	0.0	0.0	0.0	2.0
20x17	2.0	2.0	2.0	2.0
21x17	2.0	2.0	8.0	7.0
22x17	2.0	2.0	2.0	2.0
23x17	8.0	8.0	8.0	1.0
24x17	11.0	11.0	11.0	1.0
25x17	9.0	4.0	2.0	2.0
26x17	8.0	7.0	8.0	3.0
27x17	1.0	1.0	2.0	2.0
28x17	3.0	3.0	3.0	5.0
29x17	2.0	2.0	2.0	4.0
0x18	2.0	3.0	2.0	2.0
1x18	0.0	1.0	3.0	3.0
2x18	9.0	9.0	9.0	2.0
3x18	13.0	0.0	0.0	0.0
4x18	6.0	6.0	6.0	5.0
5x18	9.0	9.0	9.0	0.0
6x18	4.0	4.0	4.0	0.0
7x18	9.0	4.0	2.0	4.0
8x18	9.0	9.0	1.0	7.0
9x18	5.0	5.0	1.0	1.0
10x18	4.0	4.0	4.0	1.0
11x18	2.0	2.0	3.0	7.0
12x18	2.0	2.0	2.0	9.0
13x18	2.0	2.0	2.0	1.0
14x18	1.0	1.0	3.0	3.0
15x18	3.0	3.0	4.0	4.0
16x18	2.0	2.0	2.0	1.0
17x18	0.0	0.0	0.0	1.0
18x18	3.0	3.0	0.0	1.0
19x18	2.0	2.0	2.0	3.0
20x18	3.0	3.0	2.0	1.0
21x18	1.0	1.0	1.0	0.0
22x18	0.0	18.0	0.0	7.0
23x18	2.0	2.0	0.0	0.0
24x18	11.0	11.0	11.0	2.0
25x18	6.0	2.0	6.0	7.0
26x18	1.0	1.0	1.0	11.0
27x18	1.0	1.0	1.0	2.0
28x18	1.0	1.0	2.0	12.0
29x18	0.0	0.0	0.0	3.0
0x19	1.0	1.0	1.0	11.0
1x19	3.0	3.0	2.0	0.0
2x19	12.0	10.0	12.0	1.0
3x19	11.0	11.0	11.0	2.0
4x19	4.0	4.0	4.0	2.0
5x19	6.0	6.0	6.0	3.0
6x19	7.0	7.0	0.0	2.0
7x19	4.0	4.0	3.0	1.0
8x19	11.0	11.0	11.0	2.0
9x19	8.0	8.0	4.0	3.0
10x19	8.0	8.0	8.0	4.0
11x19	2.0	2.0	2.0	4.0
12x19	2.0	2.0	2.0	5.0
13x19	1.0	1.0	3.0	4.0
14x19	0.0	0.0	1.0	3.0
15x19	3.0	3.0	3.0	13.0
16x19	2.0	2.0	2.0	2.0
17x19	4.0	4.0	1.0	7.0
18x19	2.0	2.0	2.0	3.0
19x19	4.0	4.0	1.0	3.0
20x19	1.0	1.0	1.0	7.0
21x19	3.0	3.0	3.0	2.0
22x19	1.0	1.0	1.0	2.0
23x19	3.0	3.0	3.0	4.0
24x19	0.0	0.0	0.0	2.0
25x19	1.0	1.0	1.0	4.0
26x19	1.0	1.0	2.0	2.0
27x19	2.0	2.0	2.0	3.0
28x19	0.0	0.0	1.0	2.0
29x19	3.0	3.0	3.0	1.0
0x20	2.0	2.0	2.0	2.0
1x20	1.0	1.0	3.0	2.0
2x20	12.0	0.0	12.0	2.0
3x20	6.0	6.0	2.0	2.0
4x20	9.0	9.0	3.0	7.0
5x20	10.0	10.0	10.0	3.0
6x20	11.0	11.0	1.0	4.0
7x20	18.0	0.0	18.0	0.0
8x20	12.0	12.0	12.0	4.0
9x20	4.0	4.0	4.0	9.0
10x20	5.0	5.0	5.0	0.0
11x20	4.0	4.0	4.0	3.0
12x20	2.0	2.0	2.0	2.0
13x20	2.0	2.0	4.0	4.0
14x20	2.0	2.0	2.0	5.0
15x20	1.0	1.0	1.0	1.0
16x20	1.0	1.0	5.0	2.0
17x20	1.0	1.0	6.0	1.0
18x20	1.0	1.0	1.0	2.0
19x20	2.0	2.0	1.0	2.0
20x20	1.0	1.0	2.0	1.0
21x20	1.0	1.0	8.0	4.0
22x20	3.0	3.0	2.0	12.0
23x20	1.0	1.0	1.0	2.0
24x20	4.0	4.0	2.0	3.0
25x20	0.0	0.0	10.0	2.0
26x20	1.0	1.0	1.0	3.0
27x20	2.0	2.0	1.0	2.0
28x20	2.0	3.0	4.0	0.0
29x20	3.0	3.0	3.0	11.0
0x21	3.0	3.0	3.0	2.0
1x21	1.0	1.0	1.0	4.0
2x21	1.0	2.0	2.0	2.0
3x21	7.0	7.0	7.0	1.0
4x21	7.0	7.0	7.0	7.0
5x21	9.0	9.0	4.0	6.0
6x21	7.0	7.0	0.0	2.0
7x21	10.0	10.0	10.0	1.0
8x21	4.0	4.0	2.0	6.0
9x21	6.0	6.0	9.0	1.0
10x21	10.0	10.0	10.0	9.0
11x21	5.0	5.0	5.0	2.0
12x21	3.0	1.0	1.0	4.0
13x21	2.0	2.0	6.0	1.0
14x21	2.0	2.0	3.0	3.0
15x21	1.0	1.0	0.0	1.0
16x21	1.0	1.0	13.0	4.0
17x21	4.0	4.0	1.0	12.0
18x21	2.0	2.0	3.0	10.0
19x21	2.0	2.0	2.0	4.0
20x21	2.0	2.0	2.0	4.0
21x21	5.0	5.0	5.0	2.0
22x21	4.0	4.0	11.0	4.0
23x21	0.0	0.0	4.0	5.0
24x21	1.0	1.0	2.0	1.0
25x21	2.0	2.0	2.0	3.0
26x21	2.0	2.0	1.0	1.0
27x21	1.0	1.0	4.0	1.0
28x21	2.0	2.0	0.0	2.0
29x21	2.0	2.0	7.0	1.0
0x22	0.0	0.0	0.0	3.0
1x22	2.0	2.0	2.0	0.0
2x22	4.0	4.0	2.0	7.0
3x22	1.0	1.0	1.0	2.0
4x22	10.0	10.0	10.0	9.0
5x22	8.0	8.0	4.0	3.0
6x22	3.0	3.0	3.0	2.0
7x22	6.0	6.0	2.0	2.0
8x22	7.0	7.0	0.0	7.0
9x22	6.0	6.0	0.0	1.0
10x22	6.0	6.0	6.0	6.0
11x22	4.0	1.0	4.0	5.0
12x22	4.0	4.0	9.0	3.0
13x22	1.0	1.0	1.0	2.0
14x22	0.0	0.0	1.0	4.0
15x22	4.0	4.0	4.0	4.0
16x22	1.0	1.0	1.0	0.0
17x22	3.0	3.0	3.0	2.0
18x22	2.0	2.0	2.0	0.0
19x22	0.0	0.0	0.0	1.0
20x22	0.0	0.0	2.0	1.0
21x22	3.0	3.0	3.0	1.0
22x22	1.0	1.0	1.0	2.0
23x22	4.0	4.0	4.0	0.0
24x22	5.0	5.0	5.0	1.0
25x22	3.0	3.0	0.0	10.0
26x22	0.0	0.0	0.0	1.0
27x22	0.0	0.0	1.0	1.0
28x22	3.0	3.0	3.0	1.0
29x22	2.0	2.0	2.0	4.0
0x23	2.0	9.0	2.0	3.0
1x23	4.0	4.0	4.0	4.0
2x23	3.0	3.0	3.0	3.0
3x23	1.0	1.0	1.0	3.0
4x23	1.0	1.0	2.0	0.0
5x23	8.0	8.0	8.0	2.0
