	mob.tsv	average
Ttyh2	0.5940000000000004	0.24031516743271175
Tpk1	0.4860000000000004	0.16940249507551816
Hnrpll	0.46400000000000036	0.15495732107683055
Pde12	0.5370000000000004	0.20288903479974843
Cops8	0.5330000000000004	0.20026263952725978
Arhgap5	0.47000000000000036	0.15889691398556352
Hey1	0.6330000000000005	0.26592252133947614
Cox14	0.6860000000000005	0.3007222586999508
Pak6	0.5720000000000004	0.22586999343402414
B230217C12Rik	0.5800000000000004	0.23112278397900146
X2410004B18Rik	0.6160000000000004	0.25476034143139936
X1600012H06Rik	0.47100000000000036	0.15955351280368568
Pdap1	0.5260000000000004	0.19566644780040462
Gpatch2l	0.5460000000000004	0.20879842416284788
Rasgrp3	0.5310000000000004	0.19894944189101543
Hnrnpul2	0.5480000000000004	0.21011162179909224
Adamts15	0.5360000000000004	0.20223243598162627
Apc	0.5330000000000004	0.20026263952725978
Rab33b	0.4850000000000004	0.168745896257396
Btbd3	0.6070000000000004	0.24885095206829985
B4galt5	0.5320000000000004	0.1996060407091376
Slc2a1	0.4030000000000003	0.11490479317137858
Rd3	0.47300000000000036	0.16086671043993003
Coq6	0.5200000000000004	0.19172685489167166
Vdac1	0.4310000000000003	0.13328956007879916
Plec	0.4900000000000004	0.1720288903480068
Gclm	0.4970000000000004	0.17662508207486197
Tuba1a	0.44800000000000034	0.14445173998687594
Brd4	0.4230000000000003	0.12803676953382184
Pyroxd2	0.45600000000000035	0.14970453053185323
Itsn1	0.5000000000000003	0.17859487852922837
Ctsb	0.46100000000000035	0.15298752462246407
Srcin1	0.5990000000000004	0.24359816152332256
Tspan31	0.5050000000000003	0.1818778726198392
Paics	0.4850000000000004	0.168745896257396
Mark1	0.4960000000000004	0.1759684832567398
Aip	0.44900000000000034	0.1451083388049981
Nudt3	0.5980000000000004	0.2429415627052004
Ccnh	0.5420000000000004	0.20617202889035924
Ube2ql1	0.6020000000000004	0.24556795797768904
Auts2	0.5270000000000004	0.1963230466185268
Cd99l2	0.46100000000000035	0.15298752462246407
Tcerg1	0.6340000000000005	0.26657912015759827
Fzr1	0.5240000000000004	0.1943532501641603
Chmp5	0.4050000000000003	0.1162179908076229
Mfsd2a	0.5620000000000004	0.2193040052528025
Naca	0.5390000000000004	0.20420223243599275
Tada1	0.5260000000000004	0.19566644780040462
Slu7	0.5350000000000004	0.2015758371635041
Tbp	0.5300000000000004	0.19829284307289327
Phc3	0.5140000000000003	0.18778726198293866
Slc38a6	0.5420000000000004	0.20617202889035924
Csnk1g3	0.5640000000000004	0.22061720288904685
March5	0.5400000000000004	0.20485883125411491
Gm13889	0.6160000000000004	0.25476034143139936
Htr3a	0.4980000000000004	0.17728168089298413
Shisa3	0.6110000000000004	0.2514773473407885
Rab18	0.5100000000000003	0.18516086671045
Pld1	0.5160000000000003	0.18910045961918298
Zfp91	0.4160000000000003	0.12344057780696671
Plcl1	0.5280000000000004	0.19697964543664895
Bgn	0.6920000000000005	0.30466185160868375
Col9a1	0.25000000000000017	0.014445173998687577
Neto2	0.5300000000000004	0.19829284307289327
Ppp3cc	0.5560000000000004	0.21536441234406953
Mat2b	0.47400000000000037	0.1615233092580522
Tgfbr2	0.5190000000000003	0.1910702560735495
Daam1	0.5490000000000004	0.2107682206172144
Anapc4	0.46100000000000035	0.15298752462246407
Eprs	0.5890000000000004	0.23703217334210092
Pcsk6	0.5530000000000004	0.21339461588970304
Ptprd	0.5400000000000004	0.20485883125411491
Psmb10	0.5650000000000004	0.221273801707169
Fancc	0.5280000000000004	0.19697964543664895
Acbd5	0.47300000000000036	0.16086671043993003
X1200011I18Rik	0.5000000000000003	0.17859487852922837
Syt4	0.5200000000000004	0.19172685489167166
Rbm42	0.5780000000000004	0.22980958634275714
Pygb	0.4840000000000004	0.16808929743927384
Eomes	0.6590000000000005	0.28299409061065234
Aldh7a1	0.4290000000000003	0.13197636244255484
Mypop	0.5580000000000004	0.21667760998031385
Aco2	0.4050000000000003	0.1162179908076229
Nr2f1	0.5680000000000004	0.2232435981615355
Cdk17	0.5370000000000004	0.20288903479974843
Steap2	0.5410000000000004	0.20551543007223708
Car10	0.5280000000000004	0.19697964543664895
Lamtor1	0.44500000000000034	0.14248194353250945
Vps26a	0.4950000000000004	0.17531188443861764
Sertad4	0.8120000000000006	0.38345370978334337
Atg9a	0.5230000000000004	0.19369665134603814
B3galtl	0.5460000000000004	0.20879842416284788
Cand2	0.4830000000000004	0.16743269862115168
Tmx3	0.47500000000000037	0.16217990807617436
Ank2	0.47600000000000037	0.16283650689429652
Cul1	0.5160000000000003	0.18910045961918298
Syt13	0.46000000000000035	0.1523309258043419
Tiam2	0.5550000000000004	0.21470781352594737
Frmd3	0.6080000000000004	0.249507550886422
Clk4	0.4230000000000003	0.12803676953382184
Dopey2	0.5230000000000004	0.19369665134603814
Gpr37l1	0.5000000000000003	0.17859487852922837
Adnp	0.6570000000000005	0.281680892974408
Cdca7l	0.5450000000000004	0.20814182534472572
Rwdd4a	0.45300000000000035	0.14773473407748675
Cuedc2	0.5630000000000004	0.2199606040709247
Kptn	0.5890000000000004	0.23703217334210092
Hspe1	0.34900000000000025	0.07944845699278176
Pitrm1	0.6070000000000004	0.24885095206829985
Dlx6as1	0.7410000000000005	0.33683519369666975
Arhgap32	0.5200000000000004	0.19172685489167166
Scrib	0.47400000000000037	0.1615233092580522
Arap2	0.5120000000000003	0.18647406434669433
Pcdhb7	0.4850000000000004	0.168745896257396
Cox4i1	0.47400000000000037	0.1615233092580522
Cnn3	0.5430000000000004	0.2068286277084814
Ryr3	0.5510000000000004	0.21208141825345872
Ppp1r36	0.4940000000000004	0.17465528562049548
Xrcc6bp1	0.4900000000000004	0.1720288903480068
Ccdc85a	0.6540000000000005	0.27971109652004156
Dhps	0.4850000000000004	0.168745896257396
Cd24a	0.5210000000000004	0.19238345370979382
Wdr1	0.4050000000000003	0.1162179908076229
Copa	0.4120000000000003	0.12081418253447805
Slitrk5	0.5450000000000004	0.20814182534472572
Map2k2	0.46500000000000036	0.1556139198949527
Itgb1	0.4160000000000003	0.12344057780696671
Pikfyve	0.5610000000000004	0.21864740643468034
Txndc15	0.5060000000000003	0.18253447143796137
Myt1l	0.4940000000000004	0.17465528562049548
Vat1l	0.6920000000000005	0.30466185160868375
Shprh	0.5730000000000004	0.2265265922521463
Arhgdig	0.6390000000000005	0.2698621142482091
BC002163	0.4970000000000004	0.17662508207486197
Acsl4	0.6070000000000004	0.24885095206829985
Rgs12	0.7470000000000006	0.3407747866054027
Man2b1	0.46500000000000036	0.1556139198949527
Pex13	0.46000000000000035	0.1523309258043419
Prune2	0.5800000000000004	0.23112278397900146
Rmnd5b	0.44200000000000034	0.14051214707814294
Rad9a	0.5250000000000004	0.19500984898228246
Lmnb2	0.5260000000000004	0.19566644780040462
Sfrp1	0.6610000000000005	0.28430728824689666
Gemin5	0.43900000000000033	0.13854235062377646
Laptm4a	0.3850000000000003	0.10308601444517963
Phka2	0.5900000000000004	0.23768877216022308
Slc39a1	0.4850000000000004	0.168745896257396
Birc2	0.5980000000000004	0.2429415627052004
Srebf2	0.5120000000000003	0.18647406434669433
Atp6ap1	0.5360000000000004	0.20223243598162627
Atp6v0b	0.4060000000000003	0.11687458962574507
Pkig	0.8320000000000006	0.39658568614578665
BC030336	0.6290000000000004	0.26329612606698743
Eif3i	0.5020000000000003	0.1799080761654727
Ubr4	0.6840000000000005	0.29940906106370646
Phf1	0.4010000000000003	0.11359159553513426
D8Ertd738e	0.5040000000000003	0.18122127380171704
Foxg1	0.45700000000000035	0.1503611293499754
Ptprs	0.4200000000000003	0.12606697307945536
Ints2	0.5030000000000003	0.18056467498359488
Wipf2	0.5410000000000004	0.20551543007223708
Psmd7	0.45900000000000035	0.15167432698621974
Yipf4	0.5550000000000004	0.21470781352594737
Tenm3	0.6580000000000005	0.2823374917925302
Sez6	0.8530000000000006	0.4103742613263521
Ssbp4	0.5160000000000003	0.18910045961918298
Polr1c	0.6040000000000004	0.24688115561393337
Nup88	0.5180000000000003	0.19041365725542733
Lrrc8a	0.4290000000000003	0.13197636244255484
Matk	0.7050000000000005	0.3131976362442719
Aftph	0.5080000000000003	0.1838476690742057
Ercc6	0.48000000000000037	0.1654629021667852
Tril	0.5860000000000004	0.23506237688773443
X1810014B01Rik	0.47600000000000037	0.16283650689429652
Flnb	0.4860000000000004	0.16940249507551816
Ndrg3	0.47100000000000036	0.15955351280368568
Cpne6	0.5580000000000004	0.21667760998031385
Rin2	0.47200000000000036	0.16021011162180784
Rtn4	0.4240000000000003	0.128693368351944
Zhx1	0.5190000000000003	0.1910702560735495
Lims2	0.5800000000000004	0.23112278397900146
Siah1a	0.5150000000000003	0.18844386080106082
Necab3	0.6100000000000004	0.25082074852266634
Ppp2r2b	0.5610000000000004	0.21864740643468034
Csnk1e	0.45100000000000035	0.14642153644124242
Nat14	0.7460000000000006	0.3401181877872806
Scarf2	0.3850000000000003	0.10308601444517963
Maged1	0.5010000000000003	0.17925147734735053
Cacng3	1.1189999999999876	0.5850295469468388
Chmp1a	0.5150000000000003	0.18844386080106082
Maea	0.44400000000000034	0.1418253447143873
Abhd4	0.4190000000000003	0.1254103742613332
Tmem63b	0.5110000000000003	0.18581746552857217
Camk2g	0.5590000000000004	0.217334208798436
Gaa	0.43700000000000033	0.13722915298753213
Wdr36	0.6340000000000005	0.26657912015759827
Adss	0.5720000000000004	0.22586999343402414
Ms4a6c	0.4160000000000003	0.12344057780696671
Kirrel3	0.5910000000000004	0.23834537097834524
Rock1	0.47900000000000037	0.16480630334866303
Ctsz	0.46700000000000036	0.15692711753119704
Srp54b	0.47200000000000036	0.16021011162180784
Clasp2	0.46600000000000036	0.15627051871307487
Gpbp1	0.5160000000000003	0.18910045961918298
Gpatch4	0.4920000000000004	0.17334208798425113
Kcnip2	0.5190000000000003	0.1910702560735495
Prkcb	0.5050000000000003	0.1818778726198392
Nisch	0.5280000000000004	0.19697964543664895
Fmr1	0.6020000000000004	0.24556795797768904
Slc48a1	0.3970000000000003	0.1109652002626456
Gna11	0.45700000000000035	0.1503611293499754
Fam76a	0.6320000000000005	0.26526592252135395
Sox12	0.6430000000000005	0.27248850952069775
Ndufa11	0.4160000000000003	0.12344057780696671
Spock3	0.5360000000000004	0.20223243598162627
Insm1	0.5710000000000004	0.22521339461590198
Neurl4	0.5310000000000004	0.19894944189101543
Lsg1	0.5990000000000004	0.24359816152332256
Tcf4	0.44900000000000034	0.1451083388049981
Hist1h4d	0.5480000000000004	0.21011162179909224
Lyn	0.5340000000000004	0.20091923834538195
Papola	0.5630000000000004	0.2199606040709247
Tagln3	0.5020000000000003	0.1799080761654727
Atp1a2	0.4960000000000004	0.1759684832567398
Setd1b	0.5120000000000003	0.18647406434669433
Cdc42se2	0.46600000000000036	0.15627051871307487
Ildr2	0.5400000000000004	0.20485883125411491
Cldn12	0.4890000000000004	0.17137229152988465
Zc4h2	0.5200000000000004	0.19172685489167166
Dhodh	0.5360000000000004	0.20223243598162627
Smarce1	0.5110000000000003	0.18581746552857217
S100b	0.43300000000000033	0.1346027577150435
Dctn2	0.44600000000000034	0.14313854235063161
Sdhaf1	0.5110000000000003	0.18581746552857217
Myef2	0.3880000000000003	0.10505581089954613
Cpsf3	0.5540000000000004	0.2140512147078252
Maf1	0.5640000000000004	0.22061720288904685
Diap1	0.33600000000000024	0.07091267235719363
Yme1l1	0.47300000000000036	0.16086671043993003
Usp24	0.45600000000000035	0.14970453053185323
Nckipsd	0.6630000000000005	0.28562048588314104
Gpr17	0.5280000000000004	0.19697964543664895
Zfp740	0.46100000000000035	0.15298752462246407
Tbc1d9b	0.5210000000000004	0.19238345370979382
Arl2bp	0.5110000000000003	0.18581746552857217
Rxrb	0.47900000000000037	0.16480630334866303
Pop7	0.47700000000000037	0.16349310571241868
Cnot7	0.45400000000000035	0.1483913328956089
Ccsap	0.9010000000000007	0.4418910045962159
Hnrnpa2b1	0.47500000000000037	0.16217990807617436
Rbfox3	1.1589999999999832	0.6112934996717224
Xpr1	0.45500000000000035	0.14904793171373107
Kcnd3	0.6600000000000005	0.2836506894287745
Mrpl33	0.5620000000000004	0.2193040052528025
Ddx19a	0.4880000000000004	0.17071569271176248
Rcc2	0.5270000000000004	0.1963230466185268
Psmb4	0.5280000000000004	0.19697964543664895
Ddx50	0.5630000000000004	0.2199606040709247
D5Ertd579e	0.7320000000000005	0.3309258043335703
Rnf138	0.43600000000000033	0.13657255416940997
Igsf11	0.4310000000000003	0.13328956007879916
Emd	0.43700000000000033	0.13722915298753213
Stx12	0.6030000000000004	0.2462245567958112
Ntan1	0.44400000000000034	0.1418253447143873
Gng13	0.6510000000000005	0.27774130006567505
Mrpl13	0.5240000000000004	0.1943532501641603
Emc2	0.47800000000000037	0.16414970453054087
Cct8	0.5440000000000004	0.20748522652660356
Tmem127	0.4860000000000004	0.16940249507551816
Phyhd1	0.4250000000000003	0.12934996717006617
Tmed7	0.46200000000000035	0.15364412344058623
Prkaca	0.3880000000000003	0.10505581089954613
Stx6	0.5190000000000003	0.1910702560735495
Macrod2	0.5240000000000004	0.1943532501641603
Gramd4	0.4930000000000004	0.17399868680237332
Rbbp6	0.4310000000000003	0.13328956007879916
Aasdhppt	0.46400000000000036	0.15495732107683055
Bpgm	0.5410000000000004	0.20551543007223708
Ndufb10	0.7450000000000006	0.3394615889691584
Lrpap1	0.6070000000000004	0.24885095206829985
Banp	0.6340000000000005	0.26657912015759827
Ncrna00085	0.5330000000000004	0.20026263952725978
Jmjd6	0.47500000000000037	0.16217990807617436
Jmy	0.44900000000000034	0.1451083388049981
Gng4	1.1899999999999797	0.6316480630335072
Clk2	0.4180000000000003	0.12475377544321103
Phactr1	0.6020000000000004	0.24556795797768904
Eno2	0.6270000000000004	0.2619829284307431
Mir703	0.5240000000000004	0.1943532501641603
Sh3glb2	0.5620000000000004	0.2193040052528025
Grm2	0.5050000000000003	0.1818778726198392
Akr1e1	0.4880000000000004	0.17071569271176248
Wwp2	0.4240000000000003	0.128693368351944
Selk	0.4920000000000004	0.17334208798425113
Scara3	0.5040000000000003	0.18122127380171704
Hspd1	0.5930000000000004	0.2396585686145896
Ptov1	0.5650000000000004	0.221273801707169
Trim59	0.5340000000000004	0.20091923834538195
Fam101b	0.5640000000000004	0.22061720288904685
Ankhd1	0.4970000000000004	0.17662508207486197
Mrpl22	0.48000000000000037	0.1654629021667852
Api5	0.5100000000000003	0.18516086671045
A230065H16Rik	0.6120000000000004	0.25213394615891066
Dgat2	0.6690000000000005	0.289560078791874
Klhdc3	0.4870000000000004	0.17005909389364032
Mlf2	0.5800000000000004	0.23112278397900146
Sucla2	0.4860000000000004	0.16940249507551816
Ncapd2	0.5430000000000004	0.2068286277084814
Gpr158	0.5580000000000004	0.21667760998031385
Rabgap1	0.5030000000000003	0.18056467498359488
Bap1	0.5320000000000004	0.1996060407091376
Atxn10	0.47700000000000037	0.16349310571241868
Cadm2	0.5610000000000004	0.21864740643468034
Tsn	0.3750000000000003	0.096520026263958
Zfp654	0.45600000000000035	0.14970453053185323
Agap3	0.5780000000000004	0.22980958634275714
Sumo3	0.4300000000000003	0.132632961260677
Minpp1	0.5310000000000004	0.19894944189101543
Eif3a	0.4900000000000004	0.1720288903480068
Romo1	0.5130000000000003	0.1871306631648165
Ube2g2	0.6810000000000005	0.29743926460933995
Lmna	0.5990000000000004	0.24359816152332256
C030023E24Rik	0.45000000000000034	0.14576493762312026
Ambra1	0.5030000000000003	0.18056467498359488
Hbegf	0.43600000000000033	0.13657255416940997
Tmem191c	0.3950000000000003	0.10965200262640128
Fam5c	0.5020000000000003	0.1799080761654727
Uggt1	0.5400000000000004	0.20485883125411491
Btbd7	0.45200000000000035	0.14707813525936458
Uvrag	0.5030000000000003	0.18056467498359488
Yars2	0.6670000000000005	0.2882468811556297
X4930503E24Rik	0.5310000000000004	0.19894944189101543
Cyb5	0.5000000000000003	0.17859487852922837
Srrm3	0.5640000000000004	0.22061720288904685
Bcl10	0.4910000000000004	0.17268548916612897
Gm1673	0.6180000000000004	0.2560735390676437
Sft2d2	0.47700000000000037	0.16349310571241868
Ssbp2	0.5310000000000004	0.19894944189101543
Dnm1	0.5920000000000004	0.2390019697964674
Tmem200c	0.5440000000000004	0.20748522652660356
Cacna1i	0.46200000000000035	0.15364412344058623
Ndufc2	0.5670000000000004	0.22258699934341333
Tubgcp3	0.6800000000000005	0.2967826657912178
Homer1	0.6920000000000005	0.30466185160868375
X0610009O20Rik	0.6120000000000004	0.25213394615891066
Rnf34	0.4880000000000004	0.17071569271176248
Nrsn2	0.5630000000000004	0.2199606040709247
C330021F23Rik	0.6070000000000004	0.24885095206829985
Tsr2	0.5060000000000003	0.18253447143796137
Reln	0.6090000000000004	0.2501641497045442
Snhg5	0.5900000000000004	0.23768877216022308
Ccser2	0.45400000000000035	0.1483913328956089
Smyd2	0.4990000000000004	0.1779382797111063
Nbl1	0.34400000000000025	0.07616546290217094
Srpk2	0.44000000000000034	0.13919894944189862
Ppa1	0.5620000000000004	0.2193040052528025
Slc35a5	0.5480000000000004	0.21011162179909224
Gm6710	0.4120000000000003	0.12081418253447805
Osbpl6	0.4280000000000003	0.13131976362443268
Ak1	0.5940000000000004	0.24031516743271175
Mrpl1	0.4840000000000004	0.16808929743927384
Zbtb9	0.5460000000000004	0.20879842416284788
Upf2	0.6780000000000005	0.2954694681549735
Megf8	0.5040000000000003	0.18122127380171704
Hdac5	0.4250000000000003	0.12934996717006617
Vmp1	0.5400000000000004	0.20485883125411491
Zkscan3	0.5950000000000004	0.2409717662508339
Lrrc73	0.5860000000000004	0.23506237688773443
Ncald	0.43800000000000033	0.1378857518056543
Insig2	0.5330000000000004	0.20026263952725978
Arid4b	0.5220000000000004	0.19304005252791598
Farsa	0.6450000000000005	0.2738017071569421
Hnrnpf	0.47200000000000036	0.16021011162180784
Ptp4a2	0.5710000000000004	0.22521339461590198
Dnajc30	0.45100000000000035	0.14642153644124242
Dusp26	0.5490000000000004	0.2107682206172144
Hspbp1	0.4920000000000004	0.17334208798425113
Tubg1	0.5410000000000004	0.20551543007223708
Ccdc117	0.4200000000000003	0.12606697307945536
Ccdc47	0.45900000000000035	0.15167432698621974
Ptdss2	0.46200000000000035	0.15364412344058623
Mbd1	0.46500000000000036	0.1556139198949527
Lca5l	0.43400000000000033	0.13525935653316565
Spag7	0.5020000000000003	0.1799080761654727
Cyp51	0.5030000000000003	0.18056467498359488
Anp32b	0.5030000000000003	0.18056467498359488
Fam98b	0.6950000000000005	0.30663164806305027
Adam19	0.46700000000000036	0.15692711753119704
Spry2	0.5040000000000003	0.18122127380171704
Ccdc58	0.6310000000000004	0.2646093237032318
Vipas39	0.5350000000000004	0.2015758371635041
Dnm3	0.47000000000000036	0.15889691398556352
Cd36	0.5280000000000004	0.19697964543664895
Hpca	0.6370000000000005	0.2685489166119648
Dhx30	0.5060000000000003	0.18253447143796137
Gkap1	0.5840000000000004	0.2337491792514901
Cdv3	0.5280000000000004	0.19697964543664895
Golgb1	0.46300000000000036	0.1543007222587084
Srsf2	0.4250000000000003	0.12934996717006617
Cspg5	0.6270000000000004	0.2619829284307431
Atf2	0.5460000000000004	0.20879842416284788
Psmb2	0.5580000000000004	0.21667760998031385
Pafah1b1	0.47400000000000037	0.1615233092580522
Rad21	0.47400000000000037	0.1615233092580522
A730098P11Rik	0.5250000000000004	0.19500984898228246
Acadm	0.4240000000000003	0.128693368351944
Ftsjd1	0.4890000000000004	0.17137229152988465
Dync2h1	0.44900000000000034	0.1451083388049981
Wdfy1	0.5850000000000004	0.23440577806961227
Mapk8ip1	0.45500000000000035	0.14904793171373107
Ssr1	0.46700000000000036	0.15692711753119704
Dak	0.43900000000000033	0.13854235062377646
Ogdh	0.47400000000000037	0.1615233092580522
St7l	0.46200000000000035	0.15364412344058623
Stam2	0.5300000000000004	0.19829284307289327
Cryab	0.5930000000000004	0.2396585686145896
Zfyve28	0.5910000000000004	0.23834537097834524
Dtna	0.5520000000000004	0.21273801707158088
Srprb	0.5560000000000004	0.21536441234406953
Fam126a	0.4890000000000004	0.17137229152988465
Lrig2	0.6230000000000004	0.25935653315825447
Psat1	0.5300000000000004	0.19829284307289327
Tbc1d8	0.5530000000000004	0.21339461588970304
Zdhhc14	0.5330000000000004	0.20026263952725978
Nkrf	0.7220000000000005	0.32435981615234866
Tuba8	0.5990000000000004	0.24359816152332256
Noa1	0.4940000000000004	0.17465528562049548
Tnfrsf21	0.47900000000000037	0.16480630334866303
Gbp7	0.5360000000000004	0.20223243598162627
Ltn1	0.5240000000000004	0.1943532501641603
Med28	0.4870000000000004	0.17005909389364032
Kpna6	0.4980000000000004	0.17728168089298413
Epb4.1l4a	0.43700000000000033	0.13722915298753213
Stip1	0.47700000000000037	0.16349310571241868
Abcb10	0.5670000000000004	0.22258699934341333
Chadl	0.4980000000000004	0.17728168089298413
Brsk2	0.5330000000000004	0.20026263952725978
Polr2g	0.46200000000000035	0.15364412344058623
Lrp12	0.46200000000000035	0.15364412344058623
Nrcam	0.6710000000000005	0.29087327642811833
Gnb5	0.5030000000000003	0.18056467498359488
Elovl5	0.5160000000000003	0.18910045961918298
Slc30a9	0.46700000000000036	0.15692711753119704
Dzip1	0.4040000000000003	0.11556139198950074
Snapc2	0.5190000000000003	0.1910702560735495
Lin7b	0.5190000000000003	0.1910702560735495
Itm2a	0.4140000000000003	0.12212738017072237
