	V1_Human_Lymph_Node_filtered_feature_bc_matrix	average
ATAD3C	0.35000000000000014	0.20245398773006126
ATAD3B	0.6800000000000004	0.40490797546012264
ATAD3A	0.6000000000000003	0.3558282208588956
TMEM240	0.18000000000000002	0.09815950920245393
SSU72	0.6000000000000003	0.3558282208588956
AL645728.1	0.17	0.09202453987730055
FNDC10	0.2800000000000001	0.15950920245398764
AL691432.2	0.4400000000000002	0.2576687116564417
MIB2	0.6100000000000003	0.361963190184049
MMP23B	0.49000000000000027	0.28834355828220853
CDK11B	0.6300000000000003	0.3742331288343557
FO704657.1	0.34000000000000014	0.1963190184049079
SLC35E2B	0.6400000000000003	0.3803680981595091
CDK11A	0.36000000000000015	0.20858895705521466
SLC35E2A	0.5300000000000002	0.312883435582822
NADK	0.6400000000000003	0.3803680981595091
GNB1	0.6000000000000003	0.3558282208588956
AL109917.1	0.17	0.09202453987730055
CALML6	0.19000000000000003	0.10429447852760731
TMEM52	0.15	0.07975460122699381
CFAP74	0.02	0.0
AL391845.2	0.02	0.0
GABRD	0.13999999999999999	0.07361963190184043
PRKCZ	0.6000000000000003	0.3558282208588956
AL590822.2	0.02	0.0
PRKCZ-AS1	0.22000000000000006	0.12269938650306743
FAAP20	0.6300000000000003	0.3742331288343557
AL590822.1	0.07	0.03067484662576685
SKI	0.6100000000000003	0.361963190184049
MORN1	0.4000000000000002	0.23312883435582815
RER1	0.6900000000000004	0.411042944785276
PEX10	0.5400000000000003	0.3190184049079754
PLCH2	0.5900000000000003	0.34969325153374226
AL139246.1	0.03	0.006134969325153368
PANK4	0.5900000000000003	0.34969325153374226
HES5	0.02	0.0
AL139246.5	0.5600000000000003	0.33128834355828213
TNFRSF14-AS1	0.5800000000000003	0.34355828220858886
TNFRSF14	0.6100000000000003	0.361963190184049
AL139246.3	0.4400000000000002	0.2576687116564417
FAM213B	0.5600000000000003	0.33128834355828213
MMEL1	0.21000000000000005	0.11656441717791406
TTC34	0.36000000000000015	0.20858895705521466
LINC00982	0.2900000000000001	0.16564417177914104
PRDM16	0.26000000000000006	0.1472392638036809
ARHGEF16	0.04	0.01226993865030674
MEGF6	0.6100000000000003	0.361963190184049
AL513320.1	0.02	0.0
TPRG1L	0.5900000000000003	0.34969325153374226
WRAP73	0.6000000000000003	0.3558282208588956
TP73	0.4400000000000002	0.2576687116564417
SMIM1	0.4000000000000002	0.23312883435582815
LRRC47	0.6000000000000003	0.3558282208588956
AL365330.1	0.05	0.01840490797546011
CEP104	0.6000000000000003	0.3558282208588956
DFFB	0.5400000000000003	0.3190184049079754
C1orf174	0.6000000000000003	0.3558282208588956
LINC01134	0.09	0.04294478527607358
AL805961.2	0.02	0.0
AJAP1	0.18000000000000002	0.09815950920245393
AL365255.1	0.02	0.0
NPHP4	0.5100000000000002	0.30061349693251527
KCNAB2	0.6700000000000004	0.39877300613496924
CHD5	0.02	0.0
AL031847.1	0.04	0.01226993865030674
RNF207	0.49000000000000027	0.28834355828220853
ICMT	0.6100000000000003	0.361963190184049
LINC00337	0.09	0.04294478527607358
GPR153	0.5200000000000002	0.3067484662576686
ACOT7	0.6000000000000003	0.3558282208588956
AL031848.2	0.23000000000000007	0.1288343558282208
ESPN	0.10999999999999999	0.05521472392638031
TNFRSF25	0.7600000000000005	0.4539877300613496
PLEKHG5	0.5000000000000002	0.2944785276073619
NOL9	0.6100000000000003	0.361963190184049
TAS1R1	0.05	0.01840490797546011
ZBTB48	0.6200000000000003	0.3680981595092024
KLHL21	0.5500000000000003	0.32515337423312873
PHF13	0.5400000000000003	0.3190184049079754
THAP3	0.5700000000000003	0.33742331288343547
DNAJC11	0.6300000000000003	0.3742331288343557
CAMTA1-DT	0.24000000000000007	0.13496932515337418
CAMTA1	0.6100000000000003	0.361963190184049
AL359881.3	0.02	0.0
AL359881.2	0.02	0.0
AL359881.1	0.03	0.006134969325153368
VAMP3	0.6200000000000003	0.3680981595092024
PER3	0.46000000000000024	0.2699386503067484
Z98884.1	0.02	0.0
UTS2	0.48000000000000026	0.28220858895705514
TNFRSF9	0.6400000000000003	0.3803680981595091
PARK7	0.6400000000000003	0.3803680981595091
AL034417.4	0.25000000000000006	0.14110429447852754
AL034417.3	0.02	0.0
ERRFI1	0.6000000000000003	0.3558282208588956
AL034417.2	0.02	0.0
SLC45A1	0.26000000000000006	0.1472392638036809
RERE	0.6300000000000003	0.3742331288343557
AL096855.1	0.23000000000000007	0.1288343558282208
ENO1	0.5300000000000002	0.312883435582822
ENO1-AS1	0.25000000000000006	0.14110429447852754
CA6	0.05	0.01840490797546011
SLC2A5	0.6400000000000003	0.3803680981595091
GPR157	0.5400000000000003	0.3190184049079754
MIR34AHG	0.4300000000000002	0.2515337423312883
LINC01759	0.15	0.07975460122699381
H6PD	0.6400000000000003	0.3803680981595091
SPSB1	0.5200000000000002	0.3067484662576686
BX323043.1	0.10999999999999999	0.05521472392638031
AL928921.2	0.17	0.09202453987730055
SLC25A33	0.5400000000000003	0.3190184049079754
TMEM201	0.5200000000000002	0.3067484662576686
PIK3CD	0.6200000000000003	0.3680981595092024
PIK3CD-AS1	0.19000000000000003	0.10429447852760731
PIK3CD-AS2	0.4100000000000002	0.23926380368098152
CLSTN1	0.6400000000000003	0.3803680981595091
CTNNBIP1	0.5500000000000003	0.32515337423312873
AL357140.1	0.02	0.0
LZIC	0.5000000000000002	0.2944785276073619
NMNAT1	0.46000000000000024	0.2699386503067484
RBP7	0.5000000000000002	0.2944785276073619
UBE4B	0.6100000000000003	0.361963190184049
KIF1B	0.5600000000000003	0.33128834355828213
AL139424.2	0.15	0.07975460122699381
PGD	0.5900000000000003	0.34969325153374226
AL139424.1	0.02	0.0
CENPS-CORT	0.02	0.0
CENPS	0.46000000000000024	0.2699386503067484
CORT	0.02	0.0
DFFA	0.6300000000000003	0.3742331288343557
PEX14	0.5500000000000003	0.32515337423312873
CASZ1	0.46000000000000024	0.2699386503067484
AL139423.1	0.02	0.0
C1orf127	0.22000000000000006	0.12269938650306743
TARDBP	0.6400000000000003	0.3803680981595091
AL109811.4	0.02	0.0
MASP2	0.02	0.0
AL109811.3	0.36000000000000015	0.20858895705521466
SRM	0.6600000000000004	0.39263803680981585
EXOSC10	0.6700000000000004	0.39877300613496924
AL109811.1	0.23000000000000007	0.1288343558282208
AL109811.2	0.16	0.08588957055214719
ANGPTL7	0.02	0.0
UBIAD1	0.5800000000000003	0.34355828220858886
DISP3	0.10999999999999999	0.05521472392638031
AL031731.1	0.02	0.0
FBXO2	0.45000000000000023	0.263803680981595
FBXO44	0.6100000000000003	0.361963190184049
FBXO6	0.6400000000000003	0.3803680981595091
MAD2L2	0.5900000000000003	0.34969325153374226
DRAXIN	0.10999999999999999	0.05521472392638031
AGTRAP	0.5900000000000003	0.34969325153374226
C1orf167	0.22000000000000006	0.12269938650306743
CLCN6	0.5800000000000003	0.34355828220858886
NPPA-AS1	0.48000000000000026	0.28220858895705514
KIAA2013	0.6200000000000003	0.3680981595092024
PLOD1	0.6100000000000003	0.361963190184049
MFN2	0.6400000000000003	0.3803680981595091
MIIP	0.6300000000000003	0.3742331288343557
TNFRSF8	0.4300000000000002	0.2515337423312883
TNFRSF1B	0.6700000000000004	0.39877300613496924
VPS13D	0.6200000000000003	0.3680981595092024
DHRS3	0.6100000000000003	0.361963190184049
AC254633.1	0.02	0.0
AADACL4	0.02	0.0
PDPN	0.5500000000000003	0.32515337423312873
PRDM2	0.6600000000000004	0.39263803680981585
KAZN	0.3000000000000001	0.1717791411042944
TMEM51-AS1	0.09999999999999999	0.049079754601226946
TMEM51	0.47000000000000025	0.2760736196319018
FHAD1	0.060000000000000005	0.024539877300613484
AL031283.2	0.02	0.0
AL031283.1	0.02	0.0
EFHD2	0.6800000000000004	0.40490797546012264
CTRC	0.13999999999999999	0.07361963190184043
CELA2B	0.02	0.0
CASP9	0.5800000000000003	0.34355828220858886
DNAJC16	0.6000000000000003	0.3558282208588956
AL121992.3	0.2800000000000001	0.15950920245398764
AGMAT	0.38000000000000017	0.2208588957055214
AL121992.1	0.02	0.0
DDI2	0.6000000000000003	0.3558282208588956
AL121992.2	0.02	0.0
PLEKHM2	0.6000000000000003	0.3558282208588956
SLC25A34	0.4000000000000002	0.23312883435582815
SLC25A34-AS1	0.02	0.0
FBLIM1	0.5500000000000003	0.32515337423312873
UQCRHL	0.35000000000000014	0.20245398773006126
AL450998.2	0.3100000000000001	0.17791411042944777
SPEN	0.6400000000000003	0.3803680981595091
ZBTB17	0.6100000000000003	0.361963190184049
HSPB7	0.10999999999999999	0.05521472392638031
CLCNKA	0.02	0.0
CLCNKB	0.02	0.0
FAM131C	0.02	0.0
EPHA2	0.5800000000000003	0.34355828220858886
AL451042.2	0.02	0.0
ARHGEF19	0.5000000000000002	0.2944785276073619
CPLANE2	0.2900000000000001	0.16564417177914104
FBXO42	0.6300000000000003	0.3742331288343557
SZRD1	0.6500000000000004	0.3865030674846625
SPATA21	0.05	0.01840490797546011
NECAP2	0.6200000000000003	0.3680981595092024
LINC01772	0.21000000000000005	0.11656441717791406
AL137802.2	0.2700000000000001	0.15337423312883428
NBPF1	0.5100000000000002	0.30061349693251527
AL137798.1	0.02	0.0
CROCC	0.6000000000000003	0.3558282208588956
BX284668.5	0.5400000000000003	0.3190184049079754
BX284668.6	0.060000000000000005	0.024539877300613484
MFAP2	0.2900000000000001	0.16564417177914104
ATP13A2	0.6400000000000003	0.3803680981595091
SDHB	0.6100000000000003	0.361963190184049
PADI2	0.3000000000000001	0.1717791411042944
PADI4	0.2900000000000001	0.16564417177914104
AC004824.1	0.03	0.006134969325153368
RCC2	0.7000000000000004	0.41717791411042937
ARHGEF10L	0.49000000000000027	0.28834355828220853
ACTL8	0.02	0.0
IGSF21	0.02	0.0
KLHDC7A	0.13999999999999999	0.07361963190184043
ALDH4A1	0.4400000000000002	0.2576687116564417
IFFO2	0.5400000000000003	0.3190184049079754
UBR4	0.6500000000000004	0.3865030674846625
AL035413.1	0.2700000000000001	0.15337423312883428
EMC1	0.6100000000000003	0.361963190184049
MRTO4	0.6400000000000003	0.3803680981595091
AKR7A3	0.26000000000000006	0.1472392638036809
AKR7A2	0.6300000000000003	0.3742331288343557
PQLC2	0.5300000000000002	0.312883435582822
CAPZB	0.6100000000000003	0.361963190184049
MINOS1	0.6000000000000003	0.3558282208588956
NBL1	0.6100000000000003	0.361963190184049
TMCO4	0.6100000000000003	0.361963190184049
OTUD3	0.5400000000000003	0.3190184049079754
PLA2G2A	0.20000000000000004	0.11042944785276068
PLA2G5	0.2900000000000001	0.16564417177914104
PLA2G2D	0.7000000000000004	0.41717791411042937
PLA2G2F	0.02	0.0
Z98257.1	0.02	0.0
PLA2G2C	0.12999999999999998	0.06748466257668705
UBXN10-AS1	0.3100000000000001	0.17791411042944777
UBXN10	0.16	0.08588957055214719
AL020998.1	0.17	0.09202453987730055
CAMK2N1	0.4200000000000002	0.2453987730061349
MUL1	0.5500000000000003	0.32515337423312873
FAM43B	0.02	0.0
CDA	0.23000000000000007	0.1288343558282208
PINK1	0.5800000000000003	0.34355828220858886
PINK1-AS	0.2700000000000001	0.15337423312883428
DDOST	0.6100000000000003	0.361963190184049
KIF17	0.3300000000000001	0.19018404907975453
SH2D5	0.02	0.0
HP1BP3	0.6100000000000003	0.361963190184049
EIF4G3	0.6000000000000003	0.3558282208588956
ECE1	0.6400000000000003	0.3803680981595091
AL031005.1	0.02	0.0
AL031728.1	0.2900000000000001	0.16564417177914104
NBPF3	0.3100000000000001	0.17791411042944777
ALPL	0.6000000000000003	0.3558282208588956
AL359815.1	0.02	0.0
RAP1GAP	0.3000000000000001	0.1717791411042944
USP48	0.6600000000000004	0.39263803680981585
LDLRAD2	0.2900000000000001	0.16564417177914104
HSPG2	0.7500000000000004	0.44785276073619623
LINC01635	0.09	0.04294478527607358
CDC42	0.6000000000000003	0.3558282208588956
AL031281.2	0.13999999999999999	0.07361963190184043
WNT4	0.09	0.04294478527607358
ZBTB40	0.6000000000000003	0.3558282208588956
EPHA8	0.02	0.0
C1QA	0.9300000000000006	0.5582822085889569
C1QC	0.7800000000000005	0.46625766871165636
C1QB	0.9400000000000006	0.5644171779141104
EPHB2	0.49000000000000027	0.28834355828220853
TEX46	0.02	0.0
KDM1A	0.6600000000000004	0.39263803680981585
LUZP1	0.5100000000000002	0.30061349693251527
HTR1D	0.02	0.0
LINC01355	0.5400000000000003	0.3190184049079754
HNRNPR	0.6200000000000003	0.3680981595092024
ZNF436	0.4200000000000002	0.2453987730061349
ZNF436-AS1	0.3300000000000001	0.19018404907975453
AL109936.2	0.08	0.03680981595092021
TCEA3	0.4300000000000002	0.2515337423312883
ASAP3	0.4200000000000002	0.2453987730061349
E2F2	0.7000000000000004	0.41717791411042937
AL021154.1	0.23000000000000007	0.1288343558282208
ID3	0.6800000000000004	0.40490797546012264
MDS2	0.5500000000000003	0.32515337423312873
ELOA	0.5600000000000003	0.33128834355828213
ELOA-AS1	0.48000000000000026	0.28220858895705514
PITHD1	0.6600000000000004	0.39263803680981585
LYPLA2	0.6300000000000003	0.3742331288343557
GALE	0.5600000000000003	0.33128834355828213
HMGCL	0.6200000000000003	0.3680981595092024
FUCA1	0.7800000000000005	0.46625766871165636
CNR2	0.7000000000000004	0.41717791411042937
PNRC2	0.6300000000000003	0.3742331288343557
SRSF10	0.7500000000000004	0.44785276073619623
MYOM3	0.02	0.0
IFNLR1	0.5400000000000003	0.3190184049079754
AL590683.1	0.02	0.0
GRHL3	0.02	0.0
STPG1	0.37000000000000016	0.21472392638036802
NIPAL3	0.5900000000000003	0.34969325153374226
RCAN3	0.6800000000000004	0.40490797546012264
NCMAP	0.04	0.01226993865030674
SRRM1	0.6300000000000003	0.3742331288343557
CLIC4	0.6800000000000004	0.40490797546012264
RUNX3	0.6400000000000003	0.3803680981595091
AL445471.2	0.02	0.0
AL050344.1	0.02	0.0
SYF2	0.6100000000000003	0.361963190184049
AL031432.5	0.02	0.0
RSRP1	0.6200000000000003	0.3680981595092024
AL031432.3	0.12999999999999998	0.06748466257668705
TMEM50A	0.6500000000000004	0.3865030674846625
RHCE	0.02	0.0
MACO1	0.6000000000000003	0.3558282208588956
LDLRAP1	0.8000000000000005	0.4785276073619631
AL606491.1	0.19000000000000003	0.10429447852760731
MAN1C1	0.6500000000000004	0.3865030674846625
SELENON	0.6400000000000003	0.3803680981595091
AL020996.1	0.12999999999999998	0.06748466257668705
AUNIP	0.25000000000000006	0.14110429447852754
PAQR7	0.5000000000000002	0.2944785276073619
STMN1	0.9900000000000007	0.5950920245398772
PAFAH2	0.5300000000000002	0.312883435582822
EXTL1	0.37000000000000016	0.21472392638036802
SLC30A2	0.02	0.0
TRIM63	0.02	0.0
PDIK1L	0.5100000000000002	0.30061349693251527
FAM110D	0.46000000000000024	0.2699386503067484
AL391650.1	0.02	0.0
ZNF593	0.6300000000000003	0.3742331288343557
CNKSR1	0.4400000000000002	0.2576687116564417
CATSPER4	0.02	0.0
CEP85	0.5300000000000002	0.312883435582822
SH3BGRL3	0.5600000000000003	0.33128834355828213
UBXN11	0.6100000000000003	0.361963190184049
CD52	0.4200000000000002	0.2453987730061349
CRYBG2	0.17	0.09202453987730055
ZNF683	0.18000000000000002	0.09815950920245393
DHDDS	0.5500000000000003	0.32515337423312873
AL513365.2	0.02	0.0
HMGN2	0.7000000000000004	0.41717791411042937
AL512408.1	0.10999999999999999	0.05521472392638031
ARID1A	0.6700000000000004	0.39877300613496924
PIGV	0.49000000000000027	0.28834355828220853
ZDHHC18	0.6100000000000003	0.361963190184049
SFN	0.09	0.04294478527607358
GPN2	0.5800000000000003	0.34355828220858886
GPATCH3	0.5100000000000002	0.30061349693251527
NUDC	0.6500000000000004	0.3865030674846625
NR0B2	0.02	0.0
KDF1	0.25000000000000006	0.14110429447852754
TRNP1	0.2800000000000001	0.15950920245398764
TENT5B	0.08	0.03680981595092021
SLC9A1	0.5400000000000003	0.3190184049079754
WDTC1	0.6400000000000003	0.3803680981595091
TMEM222	0.6300000000000003	0.3742331288343557
SYTL1	0.6400000000000003	0.3803680981595091
MAP3K6	0.5800000000000003	0.34355828220858886
FCN3	0.45000000000000023	0.263803680981595
CD164L2	0.02	0.0
GPR3	0.13999999999999999	0.07361963190184043
WASF2	0.6500000000000004	0.3865030674846625
BX293535.1	0.16	0.08588957055214719
AHDC1	0.5500000000000003	0.32515337423312873
FGR	0.7700000000000005	0.460122699386503
LINC02574	0.02	0.0
IFI6	0.7800000000000005	0.46625766871165636
FAM76A	0.5600000000000003	0.33128834355828213
STX12	0.6500000000000004	0.3865030674846625
PPP1R8	0.6000000000000003	0.3558282208588956
THEMIS2	0.6600000000000004	0.39263803680981585
SMPDL3B	0.2700000000000001	0.15337423312883428
AL512288.1	0.02	0.0
XKR8	0.5300000000000002	0.312883435582822
EYA3	0.5900000000000003	0.34969325153374226
PTAFR	0.5000000000000002	0.2944785276073619
DNAJC8	0.6700000000000004	0.39877300613496924
ATP5IF1	0.6900000000000004	0.411042944785276
AL353622.1	0.6000000000000003	0.3558282208588956
SESN2	0.49000000000000027	0.28834355828220853
MED18	0.49000000000000027	0.28834355828220853
PHACTR4	0.5600000000000003	0.33128834355828213
RCC1	0.6200000000000003	0.3680981595092024
TRNAU1AP	0.6400000000000003	0.3803680981595091
SNHG12	0.6500000000000004	0.3865030674846625
TAF12	0.5800000000000003	0.34355828220858886
RAB42	0.34000000000000014	0.1963190184049079
LINC01715	0.16	0.08588957055214719
AL360012.1	0.24000000000000007	0.13496932515337418
GMEB1	0.5800000000000003	0.34355828220858886
YTHDF2	0.6000000000000003	0.3558282208588956
EPB41	0.6300000000000003	0.3742331288343557
TMEM200B	0.2900000000000001	0.16564417177914104
SRSF4	0.6400000000000003	0.3803680981595091
MECR	0.5200000000000002	0.3067484662576686
PTPRU	0.3100000000000001	0.17791411042944777
MATN1	0.16	0.08588957055214719
MATN1-AS1	0.5200000000000002	0.3067484662576686
LAPTM5	0.4400000000000002	0.2576687116564417
SDC3	0.7300000000000004	0.4355828220858895
PUM1	0.6100000000000003	0.361963190184049
SNRNP40	0.7000000000000004	0.41717791411042937
ZCCHC17	0.5800000000000003	0.34355828220858886
FABP3	0.35000000000000014	0.20245398773006126
SERINC2	0.49000000000000027	0.28834355828220853
TINAGL1	0.6400000000000003	0.3803680981595091
PEF1	0.6300000000000003	0.3742331288343557
COL16A1	0.47000000000000025	0.2760736196319018
ADGRB2	0.3200000000000001	0.18404907975460116
SPOCD1	0.02	0.0
PTP4A2	0.5900000000000003	0.34969325153374226
KHDRBS1	0.6700000000000004	0.39877300613496924
TMEM39B	0.5900000000000003	0.34969325153374226
KPNA6	0.6000000000000003	0.3558282208588956
TXLNA	0.6700000000000004	0.39877300613496924
CCDC28B	0.6000000000000003	0.3558282208588956
AL049795.1	0.22000000000000006	0.12269938650306743
IQCC	0.37000000000000016	0.21472392638036802
DCDC2B	0.02	0.0
TMEM234	0.5000000000000002	0.2944785276073619
EIF3I	0.6300000000000003	0.3742331288343557
FAM167B	0.5400000000000003	0.3190184049079754
LCK	0.6400000000000003	0.3803680981595091
HDAC1	0.6700000000000004	0.39877300613496924
MARCKSL1	0.8500000000000005	0.50920245398773
TSSK3	0.02	0.0
FAM229A	0.5600000000000003	0.33128834355828213
BSDC1	0.5800000000000003	0.34355828220858886
ZBTB8B	0.02	0.0
ZBTB8A	0.3000000000000001	0.1717791411042944
ZBTB8OS	0.6800000000000004	0.40490797546012264
RBBP4	0.7700000000000005	0.460122699386503
SYNC	0.6700000000000004	0.39877300613496924
KIAA1522	0.34000000000000014	0.1963190184049079
YARS	0.6600000000000004	0.39263803680981585
S100PBP	0.6600000000000004	0.39263803680981585
FNDC5	0.02	0.0
HPCA	0.02	0.0
TMEM54	0.4400000000000002	0.2576687116564417
RNF19B	0.6300000000000003	0.3742331288343557
AK2	0.6500000000000004	0.3865030674846625
AZIN2	0.36000000000000015	0.20858895705521466
TRIM62	0.5000000000000002	0.2944785276073619
ZNF362	0.5600000000000003	0.33128834355828213
AL513327.3	0.08	0.03680981595092021
PHC2	0.6200000000000003	0.3680981595092024
AL513327.2	0.02	0.0
ZSCAN20	0.20000000000000004	0.11042944785276068
CSMD2	0.25000000000000006	0.14110429447852754
C1orf94	0.02	0.0
SMIM12	0.6400000000000003	0.3803680981595091
GJB4	0.02	0.0
GJB3	0.26000000000000006	0.1472392638036809
GJA4	0.7000000000000004	0.41717791411042937
DLGAP3	0.4000000000000002	0.23312883435582815
AC114490.3	0.5100000000000002	0.30061349693251527
AC114490.2	0.3900000000000002	0.22699386503067479
TMEM35B	0.02	0.0
ZMYM6	0.6200000000000003	0.3680981595092024
ZMYM1	0.4200000000000002	0.2453987730061349
AL590434.1	0.02	0.0
SFPQ	0.6000000000000003	0.3558282208588956
ZMYM4	0.6000000000000003	0.3558282208588956
KIAA0319L	0.6200000000000003	0.3680981595092024
NCDN	0.5800000000000003	0.34355828220858886
AC004865.2	0.4000000000000002	0.23312883435582815
TFAP2E	0.2700000000000001	0.15337423312883428
PSMB2	0.6400000000000003	0.3803680981595091
C1orf216	0.48000000000000026	0.28220858895705514
CLSPN	0.25000000000000006	0.14110429447852754
AGO4	0.6000000000000003	0.3558282208588956
AGO1	0.6200000000000003	0.3680981595092024
AL139286.2	0.15	0.07975460122699381
AGO3	0.5900000000000003	0.34969325153374226
AL138787.2	0.09999999999999999	0.049079754601226946
ADPRHL2	0.6000000000000003	0.3558282208588956
COL8A2	0.49000000000000027	0.28834355828220853
TRAPPC3	0.6300000000000003	0.3742331288343557
MAP7D1	0.6500000000000004	0.3865030674846625
THRAP3	0.6300000000000003	0.3742331288343557
SH3D21	0.47000000000000025	0.2760736196319018
EVA1B	0.5800000000000003	0.34355828220858886
AL591845.1	0.37000000000000016	0.21472392638036802
STK40	0.6700000000000004	0.39877300613496924
LSM10	0.7300000000000004	0.4355828220858895
OSCP1	0.21000000000000005	0.11656441717791406
MRPS15	0.6300000000000003	0.3742331288343557
CSF3R	0.5400000000000003	0.3190184049079754
GRIK3	0.08	0.03680981595092021
LINC01137	0.34000000000000014	0.1963190184049079
ZC3H12A	0.6300000000000003	0.3742331288343557
MEAF6	0.6400000000000003	0.3803680981595091
SNIP1	0.5700000000000003	0.33742331288343547
DNALI1	0.2700000000000001	0.15337423312883428
GNL2	0.5900000000000003	0.34969325153374226
RSPO1	0.26000000000000006	0.1472392638036809
C1orf109	0.5600000000000003	0.33128834355828213
CDCA8	0.6800000000000004	0.40490797546012264
EPHA10	0.17	0.09202453987730055
MANEAL	0.3200000000000001	0.18404907975460116
YRDC	0.5800000000000003	0.34355828220858886
C1orf122	0.6100000000000003	0.361963190184049
AL929472.2	0.02	0.0
INPP5B	0.6300000000000003	0.3742331288343557
SF3A3	0.6100000000000003	0.361963190184049
FHL3	0.5300000000000002	0.312883435582822
UTP11	0.6000000000000003	0.3558282208588956
POU3F1	0.02	0.0
AL139158.3	0.02	0.0
LINC01685	0.21000000000000005	0.11656441717791406
AL354702.2	0.02	0.0
RRAGC	0.5900000000000003	0.34969325153374226
AL139260.1	0.20000000000000004	0.11042944785276068
MYCBP	0.6000000000000003	0.3558282208588956
RHBDL2	0.22000000000000006	0.12269938650306743
AKIRIN1	0.6600000000000004	0.39263803680981585
NDUFS5	0.6600000000000004	0.39263803680981585
MACF1	0.6400000000000003	0.3803680981595091
BMP8A	0.02	0.0
PABPC4	0.6300000000000003	0.3742331288343557
HEYL	0.4200000000000002	0.2453987730061349
HPCAL4	0.38000000000000017	0.2208588957055214
PPIE	0.6400000000000003	0.3803680981595091
BMP8B	0.34000000000000014	0.1963190184049079
OXCT2	0.3300000000000001	0.19018404907975453
AL033527.3	0.15	0.07975460122699381
AL033527.5	0.37000000000000016	0.21472392638036802
AL033527.4	0.02	0.0
TRIT1	0.5600000000000003	0.33128834355828213
MYCL	0.46000000000000024	0.2699386503067484
MFSD2A	0.48000000000000026	0.28220858895705514
CAP1	0.5900000000000003	0.34969325153374226
PPT1	0.6500000000000004	0.3865030674846625
RLF	0.5000000000000002	0.2944785276073619
TMCO2	0.02	0.0
AL050341.2	0.5200000000000002	0.3067484662576686
ZMPSTE24	0.6200000000000003	0.3680981595092024
COL9A2	0.5500000000000003	0.32515337423312873
SMAP2	0.5500000000000003	0.32515337423312873
ZFP69B	0.23000000000000007	0.1288343558282208
ZFP69	0.4100000000000002	0.23926380368098152
AL603839.3	0.08	0.03680981595092021
EXO5	0.48000000000000026	0.28220858895705514
AL603839.2	0.02	0.0
ZNF684	0.4400000000000002	0.2576687116564417
RIMS3	0.37000000000000016	0.21472392638036802
NFYC-AS1	0.16	0.08588957055214719
NFYC	0.6400000000000003	0.3803680981595091
KCNQ4	0.15	0.07975460122699381
CITED4	0.5700000000000003	0.33742331288343547
CTPS1	0.6100000000000003	0.361963190184049
SLFNL1-AS1	0.02	0.0
SLFNL1	0.15	0.07975460122699381
SCMH1	0.6000000000000003	0.3558282208588956
AC093151.3	0.04	0.01226993865030674
FOXO6	0.02	0.0
AC093151.2	0.02	0.0
EDN2	0.02	0.0
HIVEP3	0.5900000000000003	0.34969325153374226
GUCA2B	0.02	0.0
FOXJ3	0.6400000000000003	0.3803680981595091
RIMKLA	0.13999999999999999	0.07361963190184043
ZMYND12	0.18000000000000002	0.09815950920245393
PPCS	0.6400000000000003	0.3803680981595091
CCDC30	0.3100000000000001	0.17791411042944777
PPIH	0.6300000000000003	0.3742331288343557
AC098484.2	0.18000000000000002	0.09815950920245393
YBX1	0.5800000000000003	0.34355828220858886
P3H1	0.6100000000000003	0.361963190184049
C1orf50	0.49000000000000027	0.28834355828220853
AC098484.3	0.02	0.0
TMEM269	0.07	0.03067484662576685
SVBP	0.5400000000000003	0.3190184049079754
