	melanoma.tsv	average
PSME2	0.4120000000000003	0.262316058861175
CALR	0.4160000000000003	0.2648752399232352
MYO1D	0.4850000000000004	0.3090211132437744
GLTSCR2	0.5130000000000003	0.32693538067819605
CCDC47	0.5720000000000004	0.3646833013435847
FAM45A	0.47400000000000037	0.3019833653231087
AKR1C1	0.33100000000000024	0.21049264235445503
ADCY3	0.46100000000000035	0.29366602687141297
ADAMTS9	0.2620000000000002	0.16634676903391582
COCH	0.19300000000000014	0.12220089571337663
SUMO2	0.5240000000000004	0.33397312859886175
EEF1A1	0.43300000000000033	0.27575175943699126
SEPN1	0.47400000000000037	0.3019833653231087
SLC25A6	0.5070000000000003	0.32309660908510573
SERF2	0.44200000000000034	0.2815099168266268
DERA	0.4240000000000003	0.2699936020473557
C17orf96	0.2880000000000002	0.1829814459373074
SMARCA5	0.33200000000000024	0.21113243761997008
SLBP	0.43700000000000033	0.2783109404990515
SIPA1	0.3700000000000003	0.2354446577095424
LILRB4	0.4180000000000003	0.2661548304542653
CCL4	0.44400000000000034	0.2827895073576569
HMGCL	0.4200000000000003	0.26743442098529546
SPARC	0.43400000000000033	0.2763915547025063
SET	0.5460000000000004	0.3480486244401931
EPS8	0.5410000000000004	0.34484964811261776
HECTD4	0.3820000000000003	0.24312220089572312
WLS	0.4240000000000003	0.2699936020473557
N4BP2L2	0.3870000000000003	0.24632117722329844
DIAPH2	0.3060000000000002	0.19449776071657848
WARS	0.6230000000000004	0.39731285988485276
DHX34	0.43900000000000033	0.2795905310300816
TMEM14A	0.5220000000000004	0.33269353806783164
SF1	0.43200000000000033	0.27511196417147615
FSTL3	0.4940000000000004	0.31477927063340994
ZNF282	0.4250000000000003	0.2706333973128707
TBC1D16	0.5540000000000004	0.35316698656431356
PRR13	0.3980000000000003	0.2533589251439641
MYL6	0.4010000000000003	0.2552783109405093
NUTF2	0.43200000000000033	0.27511196417147615
SMCHD1	0.4280000000000003	0.27255278310941594
PRRC2C	0.4220000000000003	0.26871401151632557
VCL	0.36700000000000027	0.2335252719129972
LHFP	0.4890000000000004	0.31158029430583467
RABL6	0.45400000000000035	0.28918746001280754
U2SURP	0.5100000000000003	0.3250159948816509
SEPW1	0.5410000000000004	0.34484964811261776
AHI1	0.4170000000000003	0.26551503518875025
UTRN	0.4070000000000003	0.25911708253359966
NAA25	0.2940000000000002	0.18682021753039776
SHISA2	0.7850000000000006	0.5009596928982927
PFN2	0.5980000000000004	0.3813179782469763
TXNDC12	0.4150000000000003	0.26423544465772014
TBRG1	0.36500000000000027	0.23224568138196708
TRAF7	0.4870000000000004	0.3103007037748045
ME2	0.34900000000000025	0.22200895713372612
KIAA1598	0.3130000000000002	0.1989763275751839
SLC35A1	0.35200000000000026	0.2239283429302713
NDUFA3	0.4230000000000003	0.2693538067818406
PIM2	0.4230000000000003	0.2693538067818406
FKBP5	0.4040000000000003	0.25719769673705445
SMAP2	0.3820000000000003	0.24312220089572312
PHF14	0.45700000000000035	0.2911068458093527
FADS2	0.44400000000000034	0.2827895073576569
TMBIM6	0.45500000000000035	0.2898272552783226
XAGE1B	0.6310000000000004	0.40243122200897324
ECH1	0.45200000000000035	0.2879078694817774
MSRB2	0.3920000000000003	0.24952015355087373
LRRC41	0.4120000000000003	0.262316058861175
DGCR6L	0.48100000000000037	0.30646193218171414
CCT3	0.44300000000000034	0.28214971209214185
NACA2	0.4960000000000004	0.3160588611644401
MALAT1	0.5000000000000003	0.3186180422265003
ODF2	0.35200000000000026	0.2239283429302713
TMEM223	0.43900000000000033	0.2795905310300816
YWHAH	0.44400000000000034	0.2827895073576569
RILPL2	0.2640000000000002	0.16762635956494593
KDM2A	0.6090000000000004	0.3883557261676419
EIF5	0.5410000000000004	0.34484964811261776
EDF1	0.47200000000000036	0.3007037747920786
MYL12B	0.5250000000000004	0.3346129238643768
CRK	0.4190000000000003	0.2667946257197804
FMO4	0.2440000000000002	0.15483045425464473
GAS7	0.6260000000000004	0.399232245681398
NSD1	0.35100000000000026	0.22328854766475623
ANKRD10	0.4000000000000003	0.25463851567499424
CPNE2	0.4050000000000003	0.25783749200256956
CCDC80	0.4240000000000003	0.2699936020473557
TNFSF13B	0.3140000000000002	0.199616122840699
EEF1B2	0.4270000000000003	0.2719129878439009
SEC11A	0.43800000000000033	0.2789507357645665
PTPLAD2	0.21000000000000016	0.13307741522713265
SLC2A1	0.44900000000000034	0.2859884836852322
PSMD2	0.4300000000000003	0.27383237364044605
FAM63B	0.46000000000000035	0.29302623160589786
RIOK3	0.5280000000000004	0.336532309660922
KDM3B	0.3910000000000003	0.24888035828535868
POU2F2	0.4280000000000003	0.27255278310941594
ETNK1	0.3960000000000003	0.25207933461293397
COL14A1	0.4940000000000004	0.31477927063340994
MUL1	0.47300000000000036	0.30134357005759366
THY1	0.46000000000000035	0.29302623160589786
PRDX4	0.3760000000000003	0.23928342930263277
RSL24D1	0.5040000000000003	0.3211772232885605
ARHGAP1	0.34900000000000025	0.22200895713372612
HLA-DQA2	0.43900000000000033	0.2795905310300816
RINT1	0.48100000000000037	0.30646193218171414
AP1G1	0.46700000000000036	0.2975047984645033
EGFL7	0.5580000000000004	0.3557261676263738
TINAGL1	0.4850000000000004	0.3090211132437744
TMEM167A	0.4150000000000003	0.26423544465772014
FERMT2	0.4100000000000003	0.2610364683301448
HAUS2	0.3860000000000003	0.24568138195778338
APLP2	0.5270000000000004	0.3358925143954069
LIPA	0.47000000000000036	0.2994241842610485
DHRS4	0.4220000000000003	0.26871401151632557
ST7	0.4900000000000004	0.3122200895713497
SENP7	0.36900000000000027	0.23480486244402735
ROMO1	0.4890000000000004	0.31158029430583467
SHC4	0.19300000000000014	0.12220089571337663
ARL4C	0.3100000000000002	0.19705694177863875
BHLHE40	0.4170000000000003	0.26551503518875025
TMEM39B	0.32300000000000023	0.20537428023033452
MS4A7	0.35900000000000026	0.22840690978887673
ST3GAL4	0.5560000000000004	0.3544465770953437
PHACTR1	0.33500000000000024	0.21305182341651527
DHFR	0.43600000000000033	0.2776711452335364
CDC16	0.4030000000000003	0.2565579014715394
PIM3	0.47600000000000037	0.30326295585413887
WWTR1	0.47900000000000037	0.30518234165068403
TMED2	0.43400000000000033	0.2763915547025063
TNFRSF13C	0.34500000000000025	0.21944977607166588
TPP1	0.4830000000000004	0.3077415227127443
THOC1	0.44200000000000034	0.2815099168266268
LGALS9	0.4040000000000003	0.25719769673705445
CD5L	0.32100000000000023	0.20409468969930442
CFL1	0.4040000000000003	0.25719769673705445
SPATC1L	0.3880000000000003	0.2469609724888135
JPH1	0.45600000000000035	0.29046705054383765
POLR3C	0.3910000000000003	0.24888035828535868
CCNJ	0.2700000000000002	0.1714651311580363
CEBPG	0.35100000000000026	0.22328854766475623
TRIB3	0.4890000000000004	0.31158029430583467
TOMM20	0.5260000000000004	0.33525271912989185
TMEM109	0.46400000000000036	0.2955854126679581
TEFM	0.34900000000000025	0.22200895713372612
TSPAN3	0.4860000000000004	0.30966090850928946
MGP	0.45300000000000035	0.28854766474729243
CFD	0.5410000000000004	0.34484964811261776
NSMCE4A	0.3760000000000003	0.23928342930263277
CD36	0.46800000000000036	0.2981445937300184
AKAP8	0.3110000000000002	0.1976967370441538
SUPT6H	0.4130000000000003	0.26295585412669004
THYN1	0.35700000000000026	0.2271273192578466
HSPA12B	0.2990000000000002	0.19001919385797306
FGFR1OP2	0.4150000000000003	0.26423544465772014
CBX3	0.6000000000000004	0.3825975687780064
SERPINB1	0.4030000000000003	0.2565579014715394
CREG1	0.5530000000000004	0.3525271912987985
ARID2	0.3970000000000003	0.252719129878449
PPP3CA	0.33500000000000024	0.21305182341651527
FTSJ2	0.36700000000000027	0.2335252719129972
ACTR6	0.32200000000000023	0.20473448496481947
MPRIP	0.47400000000000037	0.3019833653231087
ARAF	0.3010000000000002	0.1912987843890032
CHCHD6	0.5040000000000003	0.3211772232885605
PPP1R7	0.35800000000000026	0.22776711452336165
DSC2	0.2580000000000002	0.16378758797185558
RBM6	0.4980000000000004	0.3173384516954702
SNRNP40	0.4980000000000004	0.3173384516954702
SLC25A13	0.4880000000000004	0.31094049904031956
SNHG9	0.4110000000000003	0.2616762635956599
AP1S2	0.5260000000000004	0.33525271912989185
PRKAG1	0.3810000000000003	0.24248240563020806
SEMA6C	0.32200000000000023	0.20473448496481947
GNAS	0.46600000000000036	0.29686500319898823
EIF4H	0.5450000000000004	0.347408829174678
CLK4	0.3780000000000003	0.24056301983366288
HLA-DPA1	0.4820000000000004	0.30710172744722924
ZFP36	0.47000000000000036	0.2994241842610485
GPI	0.4880000000000004	0.31094049904031956
RAD50	0.4920000000000004	0.31349968010237983
CMTR1	0.3110000000000002	0.1976967370441538
HDAC8	0.3800000000000003	0.241842610364693
ELF1	0.3950000000000003	0.2514395393474189
PLS3	0.5560000000000004	0.3544465770953437
DFFA	0.5770000000000004	0.36788227767116
UNC93B1	0.33100000000000024	0.21049264235445503
MBNL3	0.4060000000000003	0.2584772872680846
CEP170	0.3970000000000003	0.252719129878449
CD93	0.3810000000000003	0.24248240563020806
EHD4	0.43300000000000033	0.27575175943699126
DGCR2	0.45400000000000035	0.28918746001280754
AKAP13	0.4230000000000003	0.2693538067818406
UBB	0.48100000000000037	0.30646193218171414
HIPK2	0.7750000000000006	0.49456174024314203
PSAP	0.3910000000000003	0.24888035828535868
CERK	0.3910000000000003	0.24888035828535868
DENR	0.47100000000000036	0.30006397952656355
TOP1	0.6630000000000005	0.4229046705054552
SNX6	0.46800000000000036	0.2981445937300184
SH3BP5	0.2830000000000002	0.1797824696097321
EPM2AIP1	0.3740000000000003	0.23800383877160264
KCNAB2	0.35200000000000026	0.2239283429302713
AKAP17A	0.4110000000000003	0.2616762635956599
NDUFV1	0.3870000000000003	0.24632117722329844
IFRD1	0.4010000000000003	0.2552783109405093
CLIC1	0.44300000000000034	0.28214971209214185
THADA	0.3900000000000003	0.24824056301984362
ATP2B1	0.43400000000000033	0.2763915547025063
PNPLA6	0.34300000000000025	0.21817018554063575
SKIL	0.3780000000000003	0.24056301983366288
FAHD1	0.44700000000000034	0.2847088931542021
MFAP5	0.20200000000000015	0.12795905310301217
CALM2	0.5620000000000004	0.3582853486884341
GOLGA1	0.4050000000000003	0.25783749200256956
YRDC	0.5570000000000004	0.35508637236085877
OTUB1	0.46100000000000035	0.29366602687141297
MRPL28	0.46600000000000036	0.29686500319898823
ARFIP2	0.5570000000000004	0.35508637236085877
ASPH	0.5040000000000003	0.3211772232885605
STX6	0.2830000000000002	0.1797824696097321
ACSL6	0.09200000000000007	0.05758157389635548
CCDC180	0.20700000000000016	0.1311580294305875
TMEM181	0.46200000000000035	0.294305822136928
EPAS1	0.47000000000000036	0.2994241842610485
COLGALT1	0.5170000000000003	0.3294945617402563
ABCA2	0.5030000000000003	0.32053742802304547
ARL6	0.2730000000000002	0.17338451695458149
SLC6A8	0.8450000000000006	0.5393474088291963
CCND1	0.4890000000000004	0.31158029430583467
PPP2R5C	0.4990000000000004	0.31797824696098526
SF3B2	0.43200000000000033	0.27511196417147615
CARD16	0.5190000000000003	0.3307741522712864
APEX1	0.5220000000000004	0.33269353806783164
XRN2	0.4290000000000003	0.273192578374931
A2M	0.5290000000000004	0.33717210492643707
HIF1A	0.34200000000000025	0.2175303902751207
MYO9B	0.5780000000000004	0.36852207293667505
DLD	0.45900000000000035	0.2923864363403828
DEF6	0.6080000000000004	0.38771593090212686
FOS	0.5380000000000004	0.3429302623160726
CSDE1	0.4960000000000004	0.3160588611644401
DDX50	0.4030000000000003	0.2565579014715394
GOLGA7	0.46400000000000036	0.2955854126679581
MRC2	0.46200000000000035	0.294305822136928
CXCL12	0.3950000000000003	0.2514395393474189
TRAF3IP3	0.3970000000000003	0.252719129878449
ECE1	0.3800000000000003	0.241842610364693
ATP1A1	0.7280000000000005	0.46449136276393416
TM7SF3	0.45500000000000035	0.2898272552783226
GLS	0.4100000000000003	0.2610364683301448
SF3B1	0.5050000000000003	0.3218170185540756
SLC38A10	0.4240000000000003	0.2699936020473557
EIF4B	0.7180000000000005	0.45809341010878357
MAVS	0.47700000000000037	0.3039027511196539
DHX9	0.4260000000000003	0.27127319257838584
ZNF180	0.3930000000000003	0.2501599488163888
TAF8	0.3920000000000003	0.24952015355087373
GTF2F1	0.3920000000000003	0.24952015355087373
WAPAL	0.44100000000000034	0.28087012156111174
EIF6	0.45500000000000035	0.2898272552783226
USP36	0.4830000000000004	0.3077415227127443
CDK6	0.45400000000000035	0.28918746001280754
POMC	0.2960000000000002	0.1880998080614279
KIAA1407	0.33600000000000024	0.21369161868203032
PABPC3	0.36600000000000027	0.23288547664748216
SDHC	0.47600000000000037	0.30326295585413887
NRM	0.4080000000000003	0.2597568777991147
LYL1	0.5010000000000003	0.31925783749201536
SYVN1	0.6570000000000005	0.41906589891236484
CALM3	0.4060000000000003	0.2584772872680846
SLC6A15	0.5440000000000004	0.34676903390916297
NUDT15	0.4210000000000003	0.2680742162508105
FCRL2	0.2740000000000002	0.17402431222009654
LRPAP1	0.5680000000000004	0.3621241202815244
COL3A1	0.9440000000000007	0.6026871401151873
IFI6	0.4910000000000004	0.3128598848368648
UBXN1	0.3910000000000003	0.24888035828535868
ZFP36L2	0.5120000000000003	0.326295585412681
CD59	0.5490000000000004	0.3499680102367383
GEMIN5	0.44800000000000034	0.28534868841971717
ING5	0.3860000000000003	0.24568138195778338
MPC2	0.45100000000000035	0.2872680742162623
TFG	0.6300000000000004	0.4017914267434582
API5	0.43600000000000033	0.2776711452335364
NSFL1C	0.4120000000000003	0.262316058861175
TMED9	0.5810000000000004	0.3704414587332202
SLC19A1	0.43700000000000033	0.2783109404990515
N4BP2	0.46800000000000036	0.2981445937300184
EIF3H	0.4270000000000003	0.2719129878439009
TUBA1A	0.45600000000000035	0.29046705054383765
IFI27L2	0.4220000000000003	0.26871401151632557
NUDT2	0.4300000000000003	0.27383237364044605
FKBP15	0.35200000000000026	0.2239283429302713
SMIM20	0.34900000000000025	0.22200895713372612
NACA	0.4240000000000003	0.2699936020473557
UQCRB	0.5820000000000004	0.37108125399873526
PDE12	0.3880000000000003	0.2469609724888135
TEX30	0.4150000000000003	0.26423544465772014
FAHD2A	0.3960000000000003	0.25207933461293397
GCC1	0.44600000000000034	0.284069097888687
SP110	0.3740000000000003	0.23800383877160264
TIMP2	0.5430000000000004	0.3461292386436479
CAAP1	0.35300000000000026	0.22456813819578636
KBTBD6	0.3700000000000003	0.2354446577095424
DENND5A	0.3760000000000003	0.23928342930263277
CDK16	0.44700000000000034	0.2847088931542021
LSAMP	0.3900000000000003	0.24824056301984362
SFPQ	0.36900000000000027	0.23480486244402735
IL24	0.3840000000000003	0.24440179142675325
S100A13	0.46500000000000036	0.2962252079334732
BABAM1	0.5140000000000003	0.32757517594371116
FRS2	0.36900000000000027	0.23480486244402735
CDC23	0.44900000000000034	0.2859884836852322
SLCO2B1	0.4160000000000003	0.2648752399232352
PCOLCE	0.4080000000000003	0.2597568777991147
NCAPG2	0.43500000000000033	0.27703134996802137
UBE2E3	0.4290000000000003	0.273192578374931
OPTN	0.3930000000000003	0.2501599488163888
CD44	0.4990000000000004	0.31797824696098526
MAPK12	0.3930000000000003	0.2501599488163888
PTPRB	0.32800000000000024	0.20857325655790984
NARS	0.44800000000000034	0.28534868841971717
PCBP1	0.46500000000000036	0.2962252079334732
ETHE1	0.4290000000000003	0.273192578374931
ADAMTS1	0.5120000000000003	0.326295585412681
PRKD2	0.36200000000000027	0.23032629558542192
ZMAT3	0.5590000000000004	0.3563659628918889
ERI3	0.4910000000000004	0.3128598848368648
RASGRP2	0.43600000000000033	0.2776711452335364
BRK1	0.4160000000000003	0.2648752399232352
C19orf24	0.4980000000000004	0.3173384516954702
NDST1	0.3750000000000003	0.2386436340371177
CTGF	0.6070000000000004	0.3870761356366118
TSPAN7	0.6910000000000005	0.4408189379398769
PLEKHF2	0.2650000000000002	0.168266154830461
POLR3A	0.4230000000000003	0.2693538067818406
PDIA4	0.6910000000000005	0.4408189379398769
GUK1	0.32900000000000024	0.2092130518234249
CRISPLD2	0.3880000000000003	0.2469609724888135
NAA35	0.4280000000000003	0.27255278310941594
ATAD3B	0.4250000000000003	0.2706333973128707
MAST3	0.5110000000000003	0.32565579014716595
CSNK1A1	0.5010000000000003	0.31925783749201536
ANK2	0.4120000000000003	0.262316058861175
MAP3K8	0.3800000000000003	0.241842610364693
SH3BGRL2	0.3120000000000002	0.19833653230966886
TSC22D3	0.32500000000000023	0.20665387076136466
FAM49B	0.4220000000000003	0.26871401151632557
TRMT112	0.4180000000000003	0.2661548304542653
PLIN2	0.45900000000000035	0.2923864363403828
HLA-DQA1	0.5960000000000004	0.3800383877159461
PBRM1	0.3930000000000003	0.2501599488163888
CSRNP1	0.2980000000000002	0.189379398592458
DLG5	0.3720000000000003	0.2367242482405725
MALSU1	0.5480000000000004	0.34932821497122324
SSFA2	0.5030000000000003	0.32053742802304547
IRGQ	0.4310000000000003	0.2744721689059611
CTSC	0.5230000000000004	0.3333333333333467
S100A11	0.4270000000000003	0.2719129878439009
MRPL57	0.48100000000000037	0.30646193218171414
FABP5	0.44400000000000034	0.2827895073576569
PTRF	0.4010000000000003	0.2552783109405093
SLC25A4	0.6110000000000004	0.3896353166986721
SLC38A1	0.4260000000000003	0.27127319257838584
OSBP	0.5390000000000004	0.34357005758158765
AC093323.3	0.35400000000000026	0.2252079334613014
TBL1X	0.2710000000000002	0.17210492642355135
ZDHHC5	0.36900000000000027	0.23480486244402735
FCGR2B	0.2830000000000002	0.1797824696097321
GCNT2	0.5600000000000004	0.35700575815740393
CEP162	0.3020000000000002	0.19193857965451824
PREX1	0.5560000000000004	0.3544465770953437
MAPRE2	0.46800000000000036	0.2981445937300184
GABARAPL2	0.46600000000000036	0.29686500319898823
CIDEC	0.25200000000000017	0.1599488163787652
POGLUT1	0.43400000000000033	0.2763915547025063
SDC2	0.7410000000000005	0.47280870121562996
SRRM2	0.3830000000000003	0.2437619961612382
TMEM173	0.4190000000000003	0.2667946257197804
TSHZ1	0.46100000000000035	0.29366602687141297
PPP1R14B	0.5150000000000003	0.3282149712092262
ADIPOR1	0.47300000000000036	0.30134357005759366
USP39	0.2600000000000002	0.1650671785028857
PARVA	0.47200000000000036	0.3007037747920786
UBE2Q2	0.45300000000000035	0.28854766474729243
APOD	0.6020000000000004	0.3838771593090365
S100A10	0.44900000000000034	0.2859884836852322
MAFB	0.45600000000000035	0.29046705054383765
LAMTOR4	0.46100000000000035	0.29366602687141297
PARP14	0.3720000000000003	0.2367242482405725
DCUN1D4	0.2810000000000002	0.17850287907870196
C14orf169	0.3910000000000003	0.24888035828535868
DEGS1	0.5140000000000003	0.32757517594371116
ATP5A1	0.43400000000000033	0.2763915547025063
ETS1	0.36400000000000027	0.23160588611645203
EIF2B1	0.44700000000000034	0.2847088931542021
SCARA3	0.35700000000000026	0.2271273192578466
PRRC2A	0.45700000000000035	0.2911068458093527
ARID5A	0.46600000000000036	0.29686500319898823
TMA7	0.45500000000000035	0.2898272552783226
CORO7	0.44500000000000034	0.28342930262317195
CHFR	0.45100000000000035	0.2872680742162623
DTL	0.43200000000000033	0.27511196417147615
TBX2	0.47500000000000037	0.3026231605886238
TUBG1	0.5100000000000003	0.3250159948816509
HTRA1	0.43300000000000033	0.27575175943699126
MAP2K3	0.4850000000000004	0.3090211132437744
YWHAG	0.47700000000000037	0.3039027511196539
SH3BP2	0.44100000000000034	0.28087012156111174
C7orf50	0.4270000000000003	0.2719129878439009
HLA-DOA	0.47900000000000037	0.30518234165068403
CCL21	0.7260000000000005	0.46321177223290405
ISLR	0.47200000000000036	0.3007037747920786
FOXRED1	0.5020000000000003	0.3198976327575304
ACTR2	0.4210000000000003	0.2680742162508105
ZDHHC20	0.3850000000000003	0.2450415866922683
TBK1	0.4910000000000004	0.3128598848368648
TYK2	0.47500000000000037	0.3026231605886238
PTTG1IP	0.7120000000000005	0.4542546385156932
FAM120C	0.2440000000000002	0.15483045425464473
UBIAD1	0.4050000000000003	0.25783749200256956
GTF3A	0.3850000000000003	0.2450415866922683
C2orf44	0.3740000000000003	0.23800383877160264
RNF4	0.5620000000000004	0.3582853486884341
SPIDR	0.4120000000000003	0.262316058861175
ACAA1	0.3120000000000002	0.19833653230966886
SNX9	0.5380000000000004	0.3429302623160726
HSP90B1	0.4950000000000004	0.315419065898925
USP24	0.5230000000000004	0.3333333333333467
ATP5L	0.5590000000000004	0.3563659628918889
KIAA0196	0.45400000000000035	0.28918746001280754
ANKLE2	0.6040000000000004	0.38515674984006665
BRF1	0.5120000000000003	0.326295585412681
DGAT2	0.34000000000000025	0.21625079974409056
PLK1	0.45700000000000035	0.2911068458093527
NDUFA4	0.6340000000000005	0.40435060780551846
C22orf39	0.5340000000000004	0.34037108125401233
YBX3	0.5180000000000003	0.3301343570057714
ATP1B3	0.4870000000000004	0.3103007037748045
CD27	0.32100000000000023	0.20409468969930442
NRROS	0.47000000000000036	0.2994241842610485
ZNF83	0.47300000000000036	0.30134357005759366
