	V1_Adult_Mouse_Brain_filtered_feature_bc_matrix	average
Il17f	0.02	0.0
Mcm3	0.4000000000000002	0.02409638554216913
6720483E21Rik	0.13999999999999999	0.007609384908053405
Paqr8	0.7200000000000004	0.044388078630311564
Efhc1	0.35000000000000014	0.020925808497146876
Tram2	0.3100000000000001	0.01838934686112907
Tmem14a	0.8400000000000005	0.05199746353836498
Gsta3	0.3300000000000001	0.019657577679137974
Gm28836	0.09	0.004438807863031153
Khdc1a	0.02	0.0
Kcnq5	0.8900000000000006	0.05516804058338723
Gm26580	0.02	0.0
Rims1	0.9200000000000006	0.05707038681040059
4933415F23Rik	0.02	0.0
Gm29107	0.16	0.008877615726062308
Ogfrl1	1.1100000000000008	0.06911857958148515
Gm28822	0.02	0.0
B3gat2	0.7700000000000005	0.04755865567533382
Smap1	0.8700000000000006	0.05389980976537833
Sdhaf4	0.9100000000000006	0.056436271401396135
Fam135a	0.6100000000000003	0.0374128091312626
Col9a1	0.26000000000000006	0.015218769816106818
Col19a1	0.26000000000000006	0.015218769816106818
Lmbrd1	0.7200000000000004	0.044388078630311564
Adgrb3	1.0700000000000007	0.06658211794546735
4931408C20Rik	0.02	0.0
Phf3	0.7600000000000005	0.04692454026632937
Ptp4a1	0.8000000000000005	0.049461001902347174
Lgsn	0.02	0.0
Khdrbs2	0.6100000000000003	0.0374128091312626
Gm37724	0.02	0.0
Prim2	0.5600000000000003	0.034242232086240346
Rab23	0.6100000000000003	0.0374128091312626
Bag2	0.6500000000000004	0.03994927076728041
Zfp451	0.7600000000000005	0.04692454026632937
Bend6	1.0400000000000007	0.064679771718454
Dst	0.6700000000000004	0.04121750158528931
Gm37233	0.19000000000000003	0.010779961953075661
Ccdc115	0.7000000000000004	0.04311984781230266
Imp4	0.6400000000000003	0.039315155358275955
Ptpn18	0.6500000000000004	0.03994927076728041
4930568A12Rik	0.02	0.0
Cfc1	0.060000000000000005	0.0025364616360178025
1700101I19Rik	0.02	0.0
Amer3	0.7500000000000004	0.046290424857324916
Arhgef4	1.1700000000000008	0.07292327203551187
Gm38336	0.02	0.0
Fam168b	0.8500000000000005	0.052631578947369424
Plekhb2	0.8000000000000005	0.049461001902347174
1110002O04Rik	0.3200000000000001	0.01902346227013352
Hs6st1	0.7700000000000005	0.04755865567533382
Gm37335	0.02	0.0
Uggt1	0.6700000000000004	0.04121750158528931
Neurl3	0.22000000000000006	0.012682308180089015
Arid5a	0.5800000000000003	0.035510462904249245
Kansl3	0.7000000000000004	0.04311984781230266
Lman2l	0.7900000000000005	0.04882688649334272
Cnnm4	0.5200000000000002	0.03170577045022254
Cnnm3	0.6700000000000004	0.04121750158528931
Ankrd23	0.08	0.003804692454026703
Ankrd39	0.6400000000000003	0.039315155358275955
Sema4c	0.5500000000000003	0.03360811667723589
Fam178b	0.2900000000000001	0.01712111604312017
Cox5b	0.6300000000000003	0.0386810399492715
Actr1b	1.0400000000000007	0.064679771718454
4933424G06Rik	0.2900000000000001	0.01712111604312017
Gm33533	0.02	0.0
Zap70	0.5200000000000002	0.03170577045022254
Tmem131	0.7400000000000004	0.04565630944832046
Vwa3b	0.35000000000000014	0.020925808497146876
Gm37020	0.22000000000000006	0.012682308180089015
Cnga3	0.05	0.0019023462270133518
Inpp4a	0.9800000000000006	0.06087507926442729
Coa5	0.7900000000000005	0.04882688649334272
Unc50	0.7700000000000005	0.04755865567533382
Mgat4a	0.7700000000000005	0.04755865567533382
2010300C02Rik	1.6100000000000012	0.10082435003170771
Tsga10	0.5800000000000003	0.035510462904249245
Gm26805	0.18000000000000002	0.01014584654407121
Lipt1	0.48000000000000026	0.02916930881420474
Mitd1	0.6000000000000003	0.03677869372225815
Mrpl30	0.8300000000000005	0.051363348129360525
Lyg2	0.060000000000000005	0.0025364616360178025
Txndc9	0.7700000000000005	0.04755865567533382
Eif5b	0.7800000000000005	0.04819277108433827
Rev1	0.6500000000000004	0.03994927076728041
Aff3	0.7600000000000005	0.04692454026632937
Gm16150	0.13999999999999999	0.007609384908053405
Gm16152	0.060000000000000005	0.0025364616360178025
Lonrf2	1.0400000000000007	0.064679771718454
Chst10	0.8900000000000006	0.05516804058338723
Nms	0.09	0.004438807863031153
Pdcl3	0.7100000000000004	0.04375396322130711
Npas2	0.7200000000000004	0.044388078630311564
Tbc1d8	0.6400000000000003	0.039315155358275955
Cnot11	0.7300000000000004	0.04502219403931602
Rnf149	0.7800000000000005	0.04819277108433827
Creg2	0.9300000000000006	0.057704502219405034
D930019O06Rik	0.3900000000000002	0.02346227013316468
Rfx8	0.08	0.003804692454026703
Gm3646	0.02	0.0
1700066B17Rik	0.02	0.0
Map4k4	0.8100000000000005	0.05009511731135162
Il1r2	0.25000000000000006	0.014584654407102366
Gm16894	0.24000000000000007	0.013950538998097917
Il1r1	0.5200000000000002	0.03170577045022254
Il1rl2	0.16	0.008877615726062308
Il1rl1	0.02	0.0
Il18rap	0.10999999999999999	0.0057070386810400536
Slc9a4	0.4400000000000002	0.026632847178186935
Slc9a2	0.5100000000000002	0.03107165504121809
Gm37915	0.04	0.001268230818008901
Mfsd9	0.5000000000000002	0.03043753963221364
Tmem182	0.11999999999999998	0.006341154090044504
Gm29260	0.05	0.0019023462270133518
Gm9915	0.02	0.0
Gm28175	0.3200000000000001	0.01902346227013352
Pantr1	0.8900000000000006	0.05516804058338723
Pou3f3	0.7900000000000005	0.04882688649334272
Dalir	0.3200000000000001	0.01902346227013352
Mrps9	0.8000000000000005	0.049461001902347174
Gpr45	0.6000000000000003	0.03677869372225815
Tgfbrap1	0.6700000000000004	0.04121750158528931
Gm28782	0.20000000000000004	0.011414077362080112
8430432A02Rik	0.2700000000000001	0.015852885225111267
AI597479	0.6800000000000004	0.04185161699429376
Fhl2	1.1600000000000008	0.07228915662650741
Nck2	0.7300000000000004	0.04502219403931602
1500015O10Rik	2.3199999999999945	0.14584654407102327
Gm29155	0.07	0.003170577045022253
Gm29157	0.19000000000000003	0.010779961953075661
Gm29156	0.09999999999999999	0.005072923272035603
Uxs1	0.7500000000000004	0.046290424857324916
Tpp2	0.7900000000000005	0.04882688649334272
Mettl21c	0.02	0.0
Tex30	0.6000000000000003	0.03677869372225815
Kdelc1	0.48000000000000026	0.02916930881420474
Bivm	0.6600000000000004	0.040583386176284854
Ercc5	0.6600000000000004	0.040583386176284854
Mettl21e	0.02	0.0
Gulp1	0.5500000000000003	0.03360811667723589
Col3a1	0.5000000000000002	0.03043753963221364
Col5a2	0.4400000000000002	0.026632847178186935
Wdr75	0.7100000000000004	0.04375396322130711
Slc40a1	0.5100000000000002	0.03107165504121809
Dnah7b	0.35000000000000014	0.020925808497146876
Dnah7c	0.22000000000000006	0.012682308180089015
Slc39a10	1.1500000000000008	0.07165504121750296
Gm28151	0.49000000000000027	0.029803424223209193
Tmeff2	0.9500000000000006	0.05897273303741394
Gm28322	0.18000000000000002	0.01014584654407121
Gm29325	0.25000000000000006	0.014584654407102366
9330175M20Rik	0.02	0.0
Cavin2	0.6300000000000003	0.0386810399492715
Nabp1	0.6000000000000003	0.03677869372225815
Gm28055	0.02	0.0
Myo1b	0.7700000000000005	0.04755865567533382
Stat4	0.25000000000000006	0.014584654407102366
Gm31812	0.3100000000000001	0.01838934686112907
Stat1	0.6600000000000004	0.040583386176284854
Gls	1.350000000000001	0.08433734939759198
Nab1	0.6700000000000004	0.04121750158528931
Nemp2	0.4100000000000002	0.024730500951173583
Mfsd6	0.8200000000000005	0.05072923272035607
Inpp1	0.7600000000000005	0.04692454026632937
Hibch	0.6600000000000004	0.040583386176284854
1700019D03Rik	0.7000000000000004	0.04311984781230266
Mstn	0.20000000000000004	0.011414077362080112
Pms1	0.4100000000000002	0.024730500951173583
Ormdl1	0.6500000000000004	0.03994927076728041
Osgepl1	0.7100000000000004	0.04375396322130711
Gm28551	0.21000000000000005	0.012048192771084563
Asnsd1	0.6900000000000004	0.04248573240329821
Dnah7a	0.5900000000000003	0.0361445783132537
Stk17b	0.5200000000000002	0.03170577045022254
Hecw2	0.8000000000000005	0.049461001902347174
Ccdc150	0.02	0.0
Gtf3c3	0.7900000000000005	0.04882688649334272
Pgap1	0.6100000000000003	0.0374128091312626
Ankrd44	0.5500000000000003	0.03360811667723589
Sf3b1	0.8400000000000005	0.05199746353836498
Coq10b	0.6800000000000004	0.04185161699429376
Hspd1	0.8400000000000005	0.05199746353836498
Hspe1	0.7700000000000005	0.04755865567533382
Mob4	0.8500000000000005	0.052631578947369424
Rftn2	0.6300000000000003	0.0386810399492715
Gm10561	0.46000000000000024	0.027901077996195837
Mars2	0.6000000000000003	0.03677869372225815
Plcl1	0.7900000000000005	0.04882688649334272
9130227L01Rik	0.09	0.004438807863031153
Satb2	0.7000000000000004	0.04311984781230266
BC055402	0.02	0.0
1700066M21Rik	0.7500000000000004	0.046290424857324916
Tyw5	0.7300000000000004	0.04502219403931602
Maip1	0.7700000000000005	0.04755865567533382
Spats2l	0.7800000000000005	0.04819277108433827
Kctd18	0.5500000000000003	0.03360811667723589
Sgo2a	0.21000000000000005	0.012048192771084563
Aox1	0.4000000000000002	0.02409638554216913
Aox3	0.24000000000000007	0.013950538998097917
Aox4	0.26000000000000006	0.015218769816106818
Bzw1	0.7600000000000005	0.04692454026632937
Clk1	0.7300000000000004	0.04502219403931602
Ppil3	0.7200000000000004	0.044388078630311564
Nif3l1	0.6800000000000004	0.04185161699429376
Orc2	0.6700000000000004	0.04121750158528931
Gm15834	0.26000000000000006	0.015218769816106818
Fam126b	0.8200000000000005	0.05072923272035607
Ndufb3	0.8400000000000005	0.05199746353836498
Als2cr12	0.02	0.0
Cflar	0.7100000000000004	0.04375396322130711
Casp8	0.4200000000000002	0.025364616360178033
Trak2	0.8500000000000005	0.052631578947369424
Stradb	0.7900000000000005	0.04882688649334272
C2cd6	0.02	0.0
Tmem237	0.8500000000000005	0.052631578947369424
G730003C15Rik	0.37000000000000016	0.02219403931515578
Mpp4	0.22000000000000006	0.012682308180089015
Als2	0.37000000000000016	0.02219403931515578
Cdk15	0.17	0.009511731135066759
Fzd7	0.5100000000000002	0.03107165504121809
Gm973	0.6300000000000003	0.0386810399492715
Gm28411	0.02	0.0
Sumo1	0.9200000000000006	0.05707038681040059
Nop58	0.6600000000000004	0.040583386176284854
Bmpr2	0.7600000000000005	0.04692454026632937
Fam117b	0.7300000000000004	0.04502219403931602
Ica1l	0.8900000000000006	0.05516804058338723
Wdr12	0.8500000000000005	0.052631578947369424
Carf	0.6400000000000003	0.039315155358275955
Nbeal1	0.5900000000000003	0.0361445783132537
Cyp20a1	0.6700000000000004	0.04121750158528931
Abi2	1.0000000000000007	0.0621433100824362
Raph1	0.7900000000000005	0.04882688649334272
Cd28	0.04	0.001268230818008901
Ctla4	0.04	0.001268230818008901
Icos	0.05	0.0019023462270133518
9530026F06Rik	0.02	0.0
Pard3b	0.4000000000000002	0.02409638554216913
Nrp2	0.9100000000000006	0.056436271401396135
Gm29083	0.34000000000000014	0.020291693088142423
Gm4208	0.13999999999999999	0.007609384908053405
Ino80d	0.6500000000000004	0.03994927076728041
Ino80dos	0.4100000000000002	0.024730500951173583
Gm20342	0.49000000000000027	0.029803424223209193
Ndufs1	0.8300000000000005	0.051363348129360525
Eef1b2	0.6400000000000003	0.039315155358275955
Gpr1	0.3000000000000001	0.01775523145212462
Zdbf2	0.8300000000000005	0.051363348129360525
Adam23	0.9300000000000006	0.057704502219405034
Gm39653	0.22000000000000006	0.012682308180089015
Mdh1b	0.34000000000000014	0.020291693088142423
Fastkd2	0.6800000000000004	0.04185161699429376
4933402D24Rik	0.11999999999999998	0.006341154090044504
Klf7	0.7200000000000004	0.044388078630311564
Gm26649	0.15	0.008243500317057856
Creb1	0.6900000000000004	0.04248573240329821
Mettl21a	0.6500000000000004	0.03994927076728041
Ccnyl1	0.5400000000000003	0.03297400126823144
Fzd5	0.6400000000000003	0.039315155358275955
Plekhm3	0.7000000000000004	0.04311984781230266
Cryge	0.02	0.0
Cryga	0.36000000000000015	0.021559923906151326
D630023F18Rik	0.6400000000000003	0.039315155358275955
Idh1	0.7700000000000005	0.04755865567533382
Pikfyve	0.7100000000000004	0.04375396322130711
Pth2r	0.02	0.0
Map2	0.8800000000000006	0.05453392517438278
Unc80	0.9600000000000006	0.05960684844641839
Kansl1l	0.5300000000000002	0.032339885859226994
Acadl	0.8000000000000005	0.049461001902347174
Myl1	0.2800000000000001	0.016487000634115716
Lancl1	0.9800000000000006	0.06087507926442729
Cps1	0.10999999999999999	0.0057070386810400536
Erbb4	0.7200000000000004	0.044388078630311564
Ikzf2	0.46000000000000024	0.027901077996195837
Spag16	0.4300000000000002	0.025998731769182486
Vwc2l	0.5200000000000002	0.03170577045022254
Bard1	0.21000000000000005	0.012048192771084563
Abca12	0.09999999999999999	0.005072923272035603
Atic	0.6600000000000004	0.040583386176284854
Fn1	0.6800000000000004	0.04185161699429376
Apol7d	0.02	0.0
4933417E11Rik	0.02	0.0
Gm4319	0.02	0.0
Mreg	0.4000000000000002	0.02409638554216913
D230017M19Rik	0.5400000000000003	0.03297400126823144
Pecr	0.5600000000000003	0.034242232086240346
Tmem169	0.6000000000000003	0.03677869372225815
Xrcc5	0.7000000000000004	0.04311984781230266
March4	0.6200000000000003	0.03804692454026705
Smarcal1	0.6500000000000004	0.03994927076728041
Gm39662	0.08	0.003804692454026703
Igfbp2	1.320000000000001	0.08243500317057863
Igfbp5	0.9700000000000006	0.06024096385542284
6030407O03Rik	0.19000000000000003	0.010779961953075661
Tns1	0.6900000000000004	0.04248573240329821
Cxcr2	0.12999999999999998	0.006975269499048954
Cxcr1	0.02	0.0
Arpc2	0.9900000000000007	0.061509194673431744
Aamp	0.7500000000000004	0.046290424857324916
Pnkd	0.7400000000000004	0.04565630944832046
Tmbim1	1.2300000000000009	0.07672796448953857
Catip	0.46000000000000024	0.027901077996195837
Slc11a1	0.4200000000000002	0.025364616360178033
Ctdsp1	0.7600000000000005	0.04692454026632937
Vil1	0.23000000000000007	0.013316423589093466
Usp37	0.6400000000000003	0.039315155358275955
Cnot9	0.6600000000000004	0.040583386176284854
Plcd4	0.6700000000000004	0.04121750158528931
Zfp142	0.7000000000000004	0.04311984781230266
Bcs1l	0.7000000000000004	0.04311984781230266
Rnf25	0.8100000000000005	0.05009511731135162
Stk36	0.4300000000000002	0.025998731769182486
Ttll4	0.5000000000000002	0.03043753963221364
Cyp27a1	0.5400000000000003	0.03297400126823144
Prkag3	0.02	0.0
Wnt6	0.24000000000000007	0.013950538998097917
Gm29539	0.02	0.0
Wnt10a	0.5600000000000003	0.034242232086240346
Cdk5r2	0.8900000000000006	0.05516804058338723
Fev	0.02	0.0
Cryba2	0.17	0.009511731135066759
Cfap65	0.5800000000000003	0.035510462904249245
Ihh	0.04	0.001268230818008901
Nhej1	0.45000000000000023	0.027266962587191388
Slc23a3	0.3200000000000001	0.01902346227013352
Cnppd1	0.7000000000000004	0.04311984781230266
Retreg2	0.8100000000000005	0.05009511731135162
Zfand2b	0.7300000000000004	0.04502219403931602
Abcb6	0.7100000000000004	0.04375396322130711
Atg9a	0.8800000000000006	0.05453392517438278
Ankzf1	0.6000000000000003	0.03677869372225815
Glb1l	0.3900000000000002	0.02346227013316468
Stk16	0.7600000000000005	0.04692454026632937
Tuba4a	1.1900000000000008	0.07419150285352076
Dnajb2	0.7400000000000004	0.04565630944832046
Ptprn	1.2500000000000009	0.07799619530754748
Resp18	1.360000000000001	0.08497146480659644
Dnpep	0.7900000000000005	0.04882688649334272
Des	0.4100000000000002	0.024730500951173583
Speg	0.8700000000000006	0.05389980976537833
Gmppa	0.7900000000000005	0.04882688649334272
Asic4	0.6300000000000003	0.0386810399492715
Chpf	0.9600000000000006	0.05960684844641839
Obsl1	0.5500000000000003	0.03360811667723589
Tmem198	1.0800000000000007	0.0672162333544718
Inha	0.7600000000000005	0.04692454026632937
Stk11ip	0.6000000000000003	0.03677869372225815
Slc4a3	1.0000000000000007	0.0621433100824362
Gm17751	0.10999999999999999	0.0057070386810400536
Gm816	0.02	0.0
Epha4	1.290000000000001	0.08053265694356528
Gm28386	0.16	0.008877615726062308
Pax3	0.02	0.0
Sgpp2	0.7600000000000005	0.04692454026632937
Farsb	0.8100000000000005	0.05009511731135162
BC035947	0.4200000000000002	0.025364616360178033
Mogat1	0.3100000000000001	0.01838934686112907
Acsl3	0.7200000000000004	0.044388078630311564
Utp14b	0.5900000000000003	0.0361445783132537
Kcne4	0.38000000000000017	0.022828154724160228
Scg2	1.460000000000001	0.09131261889664094
Ap1s3	0.38000000000000017	0.022828154724160228
Wdfy1	0.7100000000000004	0.04375396322130711
Mrpl44	0.7200000000000004	0.044388078630311564
Serpine2	0.7000000000000004	0.04311984781230266
Cul3	0.8600000000000005	0.05326569435637388
Dock10	1.0400000000000007	0.064679771718454
Nyap2	0.7600000000000005	0.04692454026632937
Irs1	0.6000000000000003	0.03677869372225815
Gm9747	0.08	0.003804692454026703
Rhbdd1	0.5400000000000003	0.03297400126823144
Col4a4	0.23000000000000007	0.013316423589093466
Col4a3	0.19000000000000003	0.010779961953075661
Mff	0.8600000000000005	0.05326569435637388
Agfg1	0.7700000000000005	0.04755865567533382
A030005L19Rik	0.20000000000000004	0.011414077362080112
Slc19a3	0.3900000000000002	0.02346227013316468
Gm47969	0.02	0.0
Krtap28-13	0.02	0.0
Daw1	0.2700000000000001	0.015852885225111267
Sphkap	1.5500000000000012	0.09701965757768101
Pid1	0.8300000000000005	0.051363348129360525
Dner	1.2500000000000009	0.07799619530754748
Trip12	0.7300000000000004	0.04502219403931602
Fbxo36	0.6900000000000004	0.04248573240329821
Slc16a14	0.20000000000000004	0.011414077362080112
C130026I21Rik	0.02	0.0
Sp110	0.37000000000000016	0.02219403931515578
Sp140	0.2900000000000001	0.01712111604312017
Sp100	0.4200000000000002	0.025364616360178033
A630001G21Rik	0.18000000000000002	0.01014584654407121
Cab39	0.8400000000000005	0.05199746353836498
Itm2c	0.9600000000000006	0.05960684844641839
4933407L21Rik	0.6700000000000004	0.04121750158528931
Gm28884	0.19000000000000003	0.010779961953075661
Gpr55	0.02	0.0
Spata3	0.3300000000000001	0.019657577679137974
2810459M11Rik	0.6000000000000003	0.03677869372225815
Psmd1	0.7700000000000005	0.04755865567533382
Gm21972	0.05	0.0019023462270133518
Armc9	0.7300000000000004	0.04502219403931602
B3gnt7	0.2700000000000001	0.015852885225111267
Gm28626	0.16	0.008877615726062308
Ncl	0.6700000000000004	0.04121750158528931
Nmur1	0.02	0.0
Ptma	0.6400000000000003	0.039315155358275955
Pde6d	0.7700000000000005	0.04755865567533382
Cops7b	0.6900000000000004	0.04248573240329821
Nppc	0.5700000000000003	0.0348763474952448
Dis3l2	0.7000000000000004	0.04311984781230266
Gm29374	0.09999999999999999	0.005072923272035603
Ecel1	2.719999999999986	0.17121116043120074
Prss56	0.08	0.003804692454026703
Eif4e2	0.8400000000000005	0.05199746353836498
Efhd1	1.1400000000000008	0.0710209258084985
Gigyf2	0.7100000000000004	0.04375396322130711
Kcnj13	1.7200000000000013	0.10779961953075667
3110079O15Rik	0.3900000000000002	0.02346227013316468
Ngef	1.7500000000000013	0.10970196575777003
Neu2	0.47000000000000025	0.02853519340520029
Inpp5d	0.5900000000000003	0.0361445783132537
Atg16l1	0.8400000000000005	0.05199746353836498
Sag	0.48000000000000026	0.02916930881420474
Dgkd	0.8000000000000005	0.049461001902347174
Usp40	0.5300000000000002	0.032339885859226994
Dnajb3	0.46000000000000024	0.027901077996195837
Mroh2a	0.05	0.0019023462270133518
Hjurp	0.7200000000000004	0.044388078630311564
Spp2	0.09	0.004438807863031153
Gm29538	0.5900000000000003	0.0361445783132537
Glrp1	0.07	0.003170577045022253
Gm29336	0.02	0.0
Arl4c	0.7700000000000005	0.04755865567533382
Platr5	0.02	0.0
Sh3bp4	0.7000000000000004	0.04311984781230266
C030007H22Rik	0.02	0.0
Agap1	0.6800000000000004	0.04185161699429376
Gbx2	0.6100000000000003	0.0374128091312626
Asb18	0.2800000000000001	0.016487000634115716
Iqca	0.37000000000000016	0.02219403931515578
Ackr3	0.6200000000000003	0.03804692454026705
Gm28723	0.04	0.001268230818008901
Cops8	1.0000000000000007	0.0621433100824362
Col6a3	0.3200000000000001	0.01902346227013352
Mlph	0.26000000000000006	0.015218769816106818
Lrrfip1	0.7900000000000005	0.04882688649334272
Ramp1	0.9000000000000006	0.05580215599239168
Ube2f	0.8400000000000005	0.05199746353836498
Gm26683	0.05	0.0019023462270133518
Scly	0.6100000000000003	0.0374128091312626
Espnl	0.09	0.004438807863031153
Klhl30	0.02	0.0
Erfe	0.12999999999999998	0.006975269499048954
Ilkap	0.8500000000000005	0.052631578947369424
Hes6	0.7400000000000004	0.04565630944832046
Per2	0.6500000000000004	0.03994927076728041
Traf3ip1	0.6400000000000003	0.039315155358275955
Asb1	0.7400000000000004	0.04565630944832046
Gm29100	0.35000000000000014	0.020925808497146876
Twist2	0.38000000000000017	0.022828154724160228
Hdac4	0.7500000000000004	0.046290424857324916
Ndufa10	0.8100000000000005	0.05009511731135162
Cops9	0.6600000000000004	0.040583386176284854
Otos	0.25000000000000006	0.014584654407102366
Gm29483	0.2900000000000001	0.01712111604312017
Gpc1	0.8200000000000005	0.05072923272035607
Gm29480	0.19000000000000003	0.010779961953075661
Ankmy1	0.3100000000000001	0.01838934686112907
Dusp28	0.8400000000000005	0.05199746353836498
5033417F24Rik	0.4000000000000002	0.02409638554216913
Rnpepl1	0.7500000000000004	0.046290424857324916
9430060I03Rik	0.12999999999999998	0.006975269499048954
Capn10	0.7400000000000004	0.04565630944832046
Gpr35	0.21000000000000005	0.012048192771084563
Kif1a	0.7600000000000005	0.04692454026632937
Gm28086	0.02	0.0
2310007B03Rik	0.09999999999999999	0.005072923272035603
Crocc2	0.2800000000000001	0.016487000634115716
Sned1	0.47000000000000025	0.02853519340520029
Gm28535	0.12999999999999998	0.006975269499048954
Pask	0.3000000000000001	0.01775523145212462
Ppp1r7	0.8500000000000005	0.052631578947369424
Ano7	0.20000000000000004	0.011414077362080112
Hdlbp	0.8900000000000006	0.05516804058338723
Sept2	0.4200000000000002	0.025364616360178033
Farp2	0.5100000000000002	0.03107165504121809
Stk25	1.0900000000000007	0.06785034876347626
Bok	1.390000000000001	0.08687381103360979
Thap4	0.7400000000000004	0.04565630944832046
Atg4b	0.8200000000000005	0.05072923272035607
Dtymk	0.7700000000000005	0.04755865567533382
Ing5	0.5600000000000003	0.034242232086240346
D2hgdh	0.5400000000000003	0.03297400126823144
Gal3st2b	0.02	0.0
Neu4	0.6000000000000003	0.03677869372225815
Pdcd1	0.02	0.0
Fam174a	0.8500000000000005	0.052631578947369424
St8sia4	0.7000000000000004	0.04311984781230266
Slco4c1	0.35000000000000014	0.020925808497146876
Panct2	0.35000000000000014	0.020925808497146876
D1Ertd622e	0.7300000000000004	0.04502219403931602
Ppip5k2	0.6300000000000003	0.0386810399492715
Gin1	0.6800000000000004	0.04185161699429376
Pam	0.8700000000000006	0.05389980976537833
Gm7967	0.19000000000000003	0.010779961953075661
Cntnap5b	0.24000000000000007	0.013950538998097917
Cdh20	0.6600000000000004	0.040583386176284854
Rnf152	0.6400000000000003	0.039315155358275955
Gm17634	0.46000000000000024	0.027901077996195837
Pign	0.5800000000000003	0.035510462904249245
2310035C23Rik	0.8200000000000005	0.05072923272035607
Tnfrsf11a	0.48000000000000026	0.02916930881420474
Gm7160	0.3200000000000001	0.01902346227013352
Zcchc2	0.6000000000000003	0.03677869372225815
Gm20753	0.02	0.0
Phlpp1	0.7000000000000004	0.04311984781230266
Bcl2	0.6400000000000003	0.039315155358275955
D630008O14Rik	0.02	0.0
Kdsr	0.6800000000000004	0.04185161699429376
Vps4b	0.7400000000000004	0.04565630944832046
Serpinb5	0.02	0.0
Serpinb11	0.02	0.0
Serpinb7	0.04	0.001268230818008901
Serpinb2	0.02	0.0
Serpinb8	0.4100000000000002	0.024730500951173583
Cdh7	0.6500000000000004	0.03994927076728041
Cdh19	0.6100000000000003	0.0374128091312626
Gm29088	0.16	0.008877615726062308
Dsel	0.6800000000000004	0.04185161699429376
9330185C12Rik	0.18000000000000002	0.01014584654407121
Cntnap5a	0.9600000000000006	0.05960684844641839
Tsn	0.6800000000000004	0.04185161699429376
Nifk	0.7200000000000004	0.044388078630311564
Clasp1	0.8100000000000005	0.05009511731135162
2900060B14Rik	0.6500000000000004	0.03994927076728041
Tfcp2l1	0.25000000000000006	0.014584654407102366
Gli2	0.3900000000000002	0.02346227013316468
Gm26831	0.05	0.0019023462270133518
Gm29455	0.09	0.004438807863031153
Inhbb	0.5400000000000003	0.03297400126823144
